priority,impact_score,task_type,location_id,location_name,category,issue_codes,fields_to_complete,current_is_active_verified,current_media_available,current_sentiment_available,current_avg_rating,current_coordinate_verified,what_to_find,decision_options,required_manual_fields,reviewer_decision,evidence_url,latitude,longitude,avg_rating,total_ulasan,media_image_url,media_source,latest_review_seen,reviewer_note
P0,111,active_status_verification,LOC-196,Curug Walanda Citatah,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,,False,False,,True,"Cek Google Maps/situs resmi/media sosial terbaru. Pastikan masih aktif, tutup, di luar scope, atau belum pasti.",active | inactive | remove_scope | uncertain,reviewer_decision|evidence_url|latest_review_seen|reviewer_note,,,,,,,,,,
P1,92,coordinate_verification,LOC-023,Curug Malela,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,True,True,True,4.2,False,Cek titik Google Maps/official. Isi latitude dan longitude jika titik dataset perlu diperbaiki atau konfirmasi coordinate_ok.,coordinate_ok | coordinate_fix | uncertain,reviewer_decision|evidence_url|latitude|longitude|reviewer_note,,,,,,,,,,
P1,92,coordinate_verification,LOC-155,Curug Panganten,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,True,True,False,,False,Cek titik Google Maps/official. Isi latitude dan longitude jika titik dataset perlu diperbaiki atau konfirmasi coordinate_ok.,coordinate_ok | coordinate_fix | uncertain,reviewer_decision|evidence_url|latitude|longitude|reviewer_note,,,,,,,,,,
P1,92,coordinate_verification,LOC-044,Jans Park (Jatinangor National Park),Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,True,True,True,4.566037735849057,False,Cek titik Google Maps/official. Isi latitude dan longitude jika titik dataset perlu diperbaiki atau konfirmasi coordinate_ok.,coordinate_ok | coordinate_fix | uncertain,reviewer_decision|evidence_url|latitude|longitude|reviewer_note,,,,,,,,,,
P1,92,coordinate_verification,LOC-138,Kebun Teh Sukawana,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,True,True,True,4.5,False,Cek titik Google Maps/official. Isi latitude dan longitude jika titik dataset perlu diperbaiki atau konfirmasi coordinate_ok.,coordinate_ok | coordinate_fix | uncertain,reviewer_decision|evidence_url|latitude|longitude|reviewer_note,,,,,,,,,,
P1,92,coordinate_verification,LOC-166,Muara Rahong Hills,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,True,True,True,4.314285714285714,False,Cek titik Google Maps/official. Isi latitude dan longitude jika titik dataset perlu diperbaiki atau konfirmasi coordinate_ok.,coordinate_ok | coordinate_fix | uncertain,reviewer_decision|evidence_url|latitude|longitude|reviewer_note,,,,,,,,,,
P1,92,coordinate_verification,LOC-069,Pemandian Cipanas Cileungsing,Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,True,True,True,4.222222222222222,False,Cek titik Google Maps/official. Isi latitude dan longitude jika titik dataset perlu diperbaiki atau konfirmasi coordinate_ok.,coordinate_ok | coordinate_fix | uncertain,reviewer_decision|evidence_url|latitude|longitude|reviewer_note,,,,,,,,,,
P1,92,coordinate_verification,LOC-162,Rumah Putih Cukul,Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,True,True,False,,False,Cek titik Google Maps/official. Isi latitude dan longitude jika titik dataset perlu diperbaiki atau konfirmasi coordinate_ok.,coordinate_ok | coordinate_fix | uncertain,reviewer_decision|evidence_url|latitude|longitude|reviewer_note,,,,,,,,,,
P1,92,coordinate_verification,LOC-158,Situ Ninah (Situ Datar),Wisata Alam,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,True,False,True,3.095238095238096,False,Cek titik Google Maps/official. Isi latitude dan longitude jika titik dataset perlu diperbaiki atau konfirmasi coordinate_ok.,coordinate_ok | coordinate_fix | uncertain,reviewer_decision|evidence_url|latitude|longitude|reviewer_note,,,,,,,,,,
P1,92,coordinate_verification,LOC-116,Wisata Kampoeng Ciherang,Rekreasi Keluarga,W_ACTIVE_COORDINATE_UNVERIFIED,coordinate_verified|latitude|longitude,True,True,True,4.377358490566038,False,Cek titik Google Maps/official. Isi latitude dan longitude jika titik dataset perlu diperbaiki atau konfirmasi coordinate_ok.,coordinate_ok | coordinate_fix | uncertain,reviewer_decision|evidence_url|latitude|longitude|reviewer_note,,,,,,,,,,
