id,scenario,query,payload_categories,sort_by,user_lat,user_lon,max_distance_km,expected_intents,required_any_category,required_any_label,required_all_labels,forbidden_any_category,forbidden_any_label,expect_no_strong_match,expect_min_results,expected_landmark,required_shopping_subtype,required_flags,required_crowd_level,required_price_type,realworld_note
GT001,Nature / Healing,wisata alam yang sejuk,,,,,,Alam,Wisata Alam|Rekreasi Alam|Tempat Camping|Taman Kota|Desa Wisata,Alam|Santai/Healing|Spot Foto,,Tempat Belanja,Belanja,false,3,,,,,,Top results should prefer cool outdoor nature or scenic tourism
GT002,Nature / Healing,tempat healing di Bandung,,,,,,Alam|Santai/Healing,Wisata Alam|Rekreasi Alam|Taman Kota|Desa Wisata,Alam|Santai/Healing|Spot Foto,,Tempat Belanja,Belanja,false,3,,,,,,Top results should feel calm scenic or restorative
GT003,Nature / Healing,tempat pemandangan bagus,,,,,,Alam|Spot Foto,Wisata Alam|Rekreasi Alam|Tempat Camping|Taman Kota|Desa Wisata,Alam|Spot Foto|Outdoor,,Tempat Belanja,Belanja,false,3,,,,,,Top results should have scenic view or photo relevance
GT004,Nature / Healing,tempat outdoor yang adem,,,,,,Alam|Outdoor,Wisata Alam|Rekreasi Alam|Tempat Camping|Taman Kota|Desa Wisata,Alam|Outdoor|Santai/Healing,,Tempat Belanja,Belanja,false,3,,,,,,Top results should be outdoor and suitable for cool atmosphere
GT005,Nature / Healing,kebun teh yang cocok untuk santai,,,,,,Alam|Santai/Healing|Outdoor,Wisata Alam|Rekreasi Alam|Desa Wisata,Alam|Santai/Healing|Outdoor,,Tempat Belanja,Belanja,false,3,,,,,,Tea plantation queries should not become generic mall or cafe results
GT006,Family / Children,wisata keluarga di Bandung,,,,,,Keluarga,Rekreasi Keluarga|Taman Kota|Tempat Belajar|Wisata Satwa|Wahana Air,Keluarga|Ramah Anak|Edukasi,,,,false,3,,,,,,Top results should be safe family recreation or family friendly tourism
GT007,Family / Children,tempat yang cocok untuk anak kecil,,,,,,Keluarga|Ramah Anak,Rekreasi Keluarga|Taman Kota|Tempat Belajar|Wisata Satwa|Wahana Air,Ramah Anak|Keluarga|Edukasi,,,,false,3,,,,,,Child queries should avoid risky trekking only destinations
GT008,Family / Children,tempat ramah anak,,,,,,Keluarga|Ramah Anak,Rekreasi Keluarga|Taman Kota|Tempat Belajar|Wisata Satwa|Wahana Air,Ramah Anak|Keluarga|Edukasi,,,,false,3,,,,,,Top results should be child friendly or educational
GT009,Family / Children,liburan keluarga yang aman,,,,,,Keluarga,Rekreasi Keluarga|Taman Kota|Tempat Belajar|Wisata Satwa|Wahana Air,Keluarga|Ramah Anak,,,,false,3,,,,,,Safety wording should favor mainstream family destinations
GT010,Family / Children,wisata edukasi untuk anak,,,,,,Keluarga|Edukasi,Tempat Belajar|Rekreasi Keluarga|Wisata Satwa|Taman Kota,Edukasi|Ramah Anak|Keluarga,,,,false,3,,,,,,Educational child tourism should prefer learning or animal interaction places
