priority,impact_score,task_type,location_id,location_name,category,issue_codes,fields_to_complete,what_to_check,reviewer_decision,evidence_url,latest_review_seen,reviewer_note,review_status,decision_options,verification_search_url,fields_remaining_count
P0,111,active_status_verification,LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Punclut+Bandung+%28Puncak+Ciumbuleuit%29+Bandung+Jawa+Barat,1
P0,111,active_status_verification,LOC-176,Padepokan Dayang Sumbi,Tempat Belajar,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Padepokan+Dayang+Sumbi+Bandung+Jawa+Barat,1
P0,111,active_status_verification,LOC-192,Curug Ngebul Gununghalu,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Ngebul+Gununghalu+Bandung+Jawa+Barat,1
P0,111,active_status_verification,LOC-195,Sungai Cikahuripan Green Canyon Saguling,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Sungai+Cikahuripan+Green+Canyon+Saguling+Bandung+Jawa+Barat,1
P0,111,active_status_verification,LOC-196,Curug Walanda Citatah,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Walanda+Citatah+Bandung+Jawa+Barat,1
P0,111,active_status_verification,LOC-213,Taman Cibeunying,Taman Kota,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Taman+Cibeunying+Bandung+Jawa+Barat,1
P0,111,active_status_verification,LOC-226,Gunung Nini Pangalengan,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Gunung+Nini+Pangalengan+Bandung+Jawa+Barat,1
P0,105,active_status_verification,LOC-023,Curug Malela,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Curug+Malela+Bandung+Jawa+Barat,1
P0,105,active_status_verification,LOC-044,Jans Park (Jatinangor National Park),Rekreasi Keluarga,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Jans+Park+%28Jatinangor+National+Park%29+Bandung+Jawa+Barat,1
P0,105,active_status_verification,LOC-069,Pemandian Cipanas Cileungsing,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,"Belum diverifikasi sumber aktual. Cek Google Maps, situs resmi, atau media sosial resmi; isi keputusan active/inactive/remove_scope/uncertain beserta bukti URL.",pending_manual_verification,active | inactive | remove_scope | uncertain,https://www.google.com/maps/search/?api=1&query=Pemandian+Cipanas+Cileungsing+Bandung+Jawa+Barat,1
