location_id,location_name,price_min,price_max,price_type,price_source,price_last_checked,price_status,price_source_name,price_source_quality,price_notes,price_bucket
LOC-003,Alun-Alun Kota Bandung,0,0,Tiket masuk,https://www.detik.com/jabar/wisata/d-7288688/wisata-alun-alun-bandung-sejarah-fasilitas-hingga-harga-tiket,2026-05-06,Valid - Media kredibel,detikJabar,Media nasional/lokal,Sumber menyebut Alun-Alun Bandung tidak dikenakan biaya masuk/gratis; parkir terpisah.,Gratis
LOC-014,Bumi Perkemahan Ranca Upas Bandung,25000,44000,Tiket masuk / camping,https://www.traveloka.com/id-id/activities/indonesia/product/ranca-upas-4848580687698,2026-05-06,Valid - Ticketing Platform,Traveloka,Ticketing platform,Tiket wisata per orang sekitar Rp25.000-Rp28.000; tiket camping Rp40.000-Rp44.000. Dipakai rentang tiket masuk wisata/camping.,Murah
LOC-020,Ciwidey Valley Resort,20000,70000,Tiket area / waterpark,https://www.traveloka.com/id-id/activities/indonesia/product/ciwidey-valley-resort-hot-spring-waterpark-tickets-2000802637848,2026-05-06,Valid - Ticketing Platform,Traveloka,Ticketing platform,Sumber ticketing menyebut tiket waterpark Rp70.000; sumber pembanding menyebut tiket area Rp20.000 dan area+waterpark Rp70.000.,Murah
LOC-024,Curug Maribaya,45000,45000,Tiket masuk,https://maribayaresort.com/product/tiket-masuk,2026-05-06,Valid - Official Website,Maribaya Natural Hot Spring Resort,Official website,Halaman tiket resmi Maribaya mencantumkan tiket masuk Rp45.000.,Sedang
LOC-027,Dago Dreampark,30000,35000,Tiket masuk,https://travelspromo.com/htm-wisata/dago-dream-park-bandung/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber sekunder menyebut tiket masuk weekday Rp30.000 dan weekend Rp35.000. Belum ditemukan sumber resmi yang stabil.,Sedang
LOC-029,Dusun Bambu,25000,40000,Tiket masuk,https://www.obnews.co/Index/newsDetail/id/14952596.html?val=a2c70c8e15999b0911ec22d6d805cde6,2026-05-06,Estimated - Perlu Cek Ulang,OBNews,Media/secondary source,"Sumber 2026 menyebut weekdays Rp25.000, weekend Rp30.000, long weekend/peak season Rp40.000.",Murah
LOC-030,Farm House Susu Lembang,35000,35000,Tiket masuk,https://travelspromo.com/htm-wisata/farm-house-lembang-bandung/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,Sumber sekunder menyebut tiket masuk Farm House Lembang Rp35.000.,Sedang
LOC-031,Floating Market Lembang,35000,60000,Tiket masuk,https://hargacampur.com/harga-tiket-masuk-floating-market-lembang/,2026-05-06,Estimated - Perlu Cek Ulang,Hargacampur,Secondary source,Sumber sekunder menyebut HTM Floating Market Lembang Rp35.000-Rp60.000. Perlu cek ke pengelola.,Sedang
LOC-034,Gedung Sate,5000,5000,Tiket Museum Gedung Sate,https://travelspromo.com/htm-wisata/museum-gedung-sate-bandung/,2026-05-06,Estimated - Perlu Cek Ulang,Travelspromo,Secondary source,"Untuk kunjungan Gedung Sate sebagai Museum Gedung Sate, sumber menyebut tiket masuk Rp5.000.",Murah
LOC-036,Glamping Lakeside Rancabali,25000,100000,Tiket masuk / paket,https://glampinglakesideofficial.com/products/paket-glamping-lakeside,2026-05-06,Valid - Official Website,Glamping Lakeside Official,Official website,"Website resmi mencantumkan tiket HTM Rp25.000, paket Rp50.000, VIP Rp100.000.",Murah
