"place_name","text_reviews","avg_text_review_stars","product_mention_ratio","aspect_useful_ratio","tourism_context_mentions","sentiment_readiness","readiness_reason"
"*UMMI* Snack Lembang","11","5","0.636","0.818","0","weak","review teks atau sinyal produk masih rendah"
"Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","18","5","0.722","0.833","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Bandung Miyucheeze","23","4.91","0.261","0.957","1","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Barokah Fresh Milk","15","4.6","0.533","1","1","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Bolu susu Lembang Cikole","13","4.85","0.308","0.769","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Brownies Susu Lembang - Ini Asli Lembang","11","4.18","0.636","0.909","1","weak","review teks atau sinyal produk masih rendah"
"Bubunasnack","16","2.88","0.312","0.938","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Central Snack","17","3.76","0.353","0.941","2","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Donatsu - Donat Susu Lembang","28","5","0.607","1","0","strong","review teks cukup dan banyak membahas produk/aspek"
"Kangsule Kampoeng Susu Lembang","18","3.78","0.444","0.778","1","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Karma Oleh Oleh Bandung","17","4.41","0.647","0.824","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Kartika Sari Lembang","19","4.37","0.474","0.789","1","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Keripik Tempe Tembul","29","4.66","0.414","0.931","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Kue Balok Jaya Giri","15","4.6","0.6","0.867","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Pabrik Bolu Susu Lembang","17","4.12","0.588","0.882","2","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Pabrik Tahu PD Uties","13","4.85","0.692","0.692","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Pabrik Tahu Sibungsu","11","3.91","0.545","0.727","0","weak","review teks atau sinyal produk masih rendah"
"PD.Bagus Tahu Dan Tempe Special","14","4.71","0.571","0.714","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Serba Susu Lembang","22","4.36","0.591","0.818","1","strong","review teks cukup dan banyak membahas produk/aspek"
"Siliwangi Bolu Kukus Lembang, Bandung","18","4.83","0.444","0.889","1","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Susu Murni KPSBU Lembang","12","4.92","0.75","1","0","medium","cukup untuk uji awal, tapi belum kuat untuk final"
"Toko Kasohor Almond Crispy Cheese Bandung","15","4.73","0.267","0.8","1","medium","cukup untuk uji awal, tapi belum kuat untuk final"
