"oleh_oleh_id","name","produk_utama","price_range_label","price_min_idr","price_max_idr","price_has_plus","price_bucket_from_min","price_confidence","daya_tahan_produk_label","daya_tahan_produk_class","cocok_untuk","best_use_case","catatan_manual","evidence_source","manual_status","manual_recommendation_status","main_recommendation_eligible"
"OOBASE-20260609-0009","Donatsu - Donat Susu Lembang","Donat susu berbagai topping (Milky cream, tabur, kreasi)","Rp 40.000 - Rp 90.000","40000","90000","False","<50k","high","1-3 hari","rendah","Keluarga, anak-anak, penggemar makanan manis","Camilan di jalan atau oleh-oleh cepat saji","Varian collab Yupi dan Milky cream sangat diminati. Sebaiknya langsung dikonsumsi.","Google Food/GoFood","complete","active","True"
"OOBASE-20260609-0019","Serba Susu Lembang","Permen susu, Susu murni botol, Yoguroll, Bola-bola susu","Rp 15.000 - Rp 85.000","15000","85000","False","<50k","high","Susu murni (1-2 hari dingin), permen (berbulan-bulan)","tinggi","Anak-anak, pecinta susu, keluarga","Oleh-oleh sehat, konsumsi harian","Susu murni wajib masuk pendingin. Permen susu sangat tahan lama untuk dibawa jauh.","Shopee/Blibli","complete","active","True"
"OOBASE-20260609-0002","Bakulsaudi / Grosir dan Gudang Kurma Bandung / Pusat Kurma Termurah Bandung / Pusat Oleh Oleh Haji Umroh Bandung","Kurma, kismis, air zamzam, hampers haji/umroh","Rp 35.000 - Rp 300.000+","35000","300000","True","<50k","medium","Berbulan-bulan hingga 1 tahun","tinggi","Jamaah haji/umroh, hadiah religius","Paket oleh-oleh ibadah","Cocok untuk beli grosir. Produk kering jadi aman dibawa perjalanan panjang.","General Knowledge (Toko Kurma)","complete","active","True"
"OOBASE-20260609-0003","Bandung Miyucheeze","Japanese Cheesecake, Cheese Tart","Rp 50.000 - Rp 100.000","50000","100000","False","50k-100k","medium","3-4 hari di kulkas","sedang","Pecinta keju, keluarga, hadiah premium","Oleh-oleh premium untuk keluarga","Perlu disimpan di kulkas agar tekstur tetap lembut.","General Knowledge","complete","active","True"
"OOBASE-20260609-0011","Karma Oleh Oleh Bandung","Kaos Bandung, souvenir, gantungan kunci, kerajinan","Rp 10.000 - Rp 150.000","10000","150000","False","<50k","high","Sangat lama (Non-makanan)","tinggi","Wisatawan, rombongan tour","Kenang-kenangan fisik dari Bandung","Pilihan tepat jika ingin oleh-oleh yang tidak bisa basi.","General Knowledge","complete","active","True"
"OOBASE-20260609-0013","Keripik Tempe Tembul","Keripik tempe aneka rasa","Rp 15.000 - Rp 35.000","15000","35000","False","<50k","high","1-3 bulan","tinggi","Semua kalangan, camilan perjalanan","Camilan di bus/mobil","Renyah dan tahan lama, favorit rombongan.","General Knowledge","complete","active","True"
"OOBASE-20260609-0020","Siliwangi Bolu Kukus Lembang, Bandung","Bolu kukus (Black forest, Alpukat, dll)","Rp 34.000 - Rp 47.000","34000","47000","False","<50k","high","3-4 hari suhu ruang","sedang","Keluarga, acara santai","Kue hantaran atau konsumsi rumah","Banyak varian mini dan ukuran L. Sangat populer.","GoFood/Internet","complete","active","True"
"OOBASE-20260609-0004","Barokah Fresh Milk","Susu sapi murni, yoghurt segar","Rp 10.000 - Rp 25.000","10000","25000","False","<50k","medium","1-2 hari dingin","sedang","Wisatawan lokal, anak-anak","Konsumsi langsung saat wisata","Harus dijaga suhu dinginnya agar tidak asam.","General Knowledge","complete","active","True"
"OOBASE-20260609-0015","Pabrik Bolu Susu Lembang","Bolu Susu Original, Vanilla, Coklat, Red Velvet","Rp 35.000 - Rp 55.000","35000","55000","False","<50k","high","3-4 hari suhu ruang","sedang","Oleh-oleh khas wajib, keluarga besar","Buah tangan andalan dari Lembang","Kerap ramai, produk cepat habis terjual.","Shopee/ResearchGate/GoFood","complete","active","True"
"OOBASE-20260609-0016","Pabrik Tahu PD Uties","Tahu segar, tempe, olahan kedelai","Rp 5.000 - Rp 25.000","5000","25000","False","<50k","medium","1-2 hari (mentah)","rendah","Ibu rumah tangga, pecinta kuliner tahu","Bahan masakan di rumah pasca liburan","Tahu khas Lembang yang lembut, bawa pakai wadah air agar awet.","General Knowledge","complete","active","True"
