location_name,action,manual_primary_intent,manual_core_labels,manual_secondary_labels,manual_avoid_labels,manual_confidence,display_status,is_active_verified,decision_note
"Ciwidey Valley Resort","keep","Keluarga","Keluarga;Ramah Anak;Santai/Healing","Alam;Kuliner;Outdoor","Belanja;Sejarah;Religi",0.86,"active_candidate",true,"Resort punya waterpark air panas, fasilitas keluarga, penginapan, restoran, dan spa. Kuliner ada tetapi bukan primary."
"Gantolle Paralayang Singajaya Cihampelas","keep","Petualangan","Petualangan;Alam;Outdoor","Spot Foto","Malam;Belanja;Kuliner;Ramah Anak",0.82,"active_candidate",true,"Primary harus Petualangan karena daya tarik utama paralayang/adrenalin. Malam dihapus karena tidak ada bukti sebagai wisata malam."
"Happyfarm Ciwidey","needs_review","Keluarga","Keluarga;Ramah Anak;Edukasi","Outdoor;Spot Foto","Belanja;Malam;Sejarah",0.68,"status_uncertain",false,"Label cocok jika tempat masih aktif, tetapi ada sumber listing yang menandai permanently closed. Status aktif harus diverifikasi ulang sebelum ditampilkan."
"Kebun Binatang Bandung","hide_temporarily","Edukasi","Edukasi;Keluarga","Ramah Anak;Outdoor","Belanja;Kuliner;Malam",0.55,"temporarily_hidden",false,"Secara konsep edukasi satwa dan keluarga, tetapi pada 2026 ada isu penutupan/segel dan transisi pengelola. Jangan tampilkan sampai status operasional jelas."
"Lembang Park & Zoo","keep","Keluarga","Keluarga;Edukasi;Ramah Anak","Outdoor;Spot Foto","Belanja;Malam",0.88,"active_candidate",true,"Primary lebih tepat Keluarga. Tempat memadukan zoo, eduwisata, interaksi satwa, dan wahana anak/keluarga."
"Taman Alun-Alun Kota Cimahi","keep","Santai/Healing","Santai/Healing;Keluarga;Ramah Anak","Outdoor;Gratis;Malam","Belanja;Petualangan;Sejarah",0.84,"active_candidate",true,"Ramah Anak valid sebagai core karena ada playground/area bermain anak, dengan catatan pendampingan orang tua."
"Rumah Guguk","keep","Keluarga","Keluarga;Ramah Anak;Edukasi","Spot Foto;Outdoor","Belanja;Malam;Sejarah",0.83,"active_candidate",true,"Primary lebih tepat Keluarga. Edukasi boleh core karena ada interaksi dengan anjing dan hewan lain, konteksnya rekreasi satwa/pet playground."
"Cikole Jayagiri Resort","keep","Alam","Alam;Petualangan;Santai/Healing","Keluarga;Outdoor","Belanja;Kuliner;Malam",0.82,"active_candidate",true,"Core tidak hanya Alam. Ada hutan pinus, resort/camping, outbound, highrope, ATV, paintball, dan gathering."
"Bird & Bromelia Pavilion","keep","Edukasi","Edukasi;Keluarga;Ramah Anak","Outdoor;Spot Foto;Santai/Healing","Belanja;Malam;Kuliner",0.86,"active_candidate",true,"Primary paling tepat Edukasi. Daya tarik utama taman burung edukatif dan interaksi dengan ratusan burung."
"Rengganis Suspension Bridge","keep","Petualangan","Petualangan;Alam;Outdoor","Spot Foto;Santai/Healing","Belanja;Kuliner;Ramah Anak",0.87,"active_candidate",true,"Primary sebaiknya Petualangan karena jembatan gantung memberi sensasi adrenalin. Alam kuat sebagai core kedua."
"Driam Riverside","keep","Alam","Alam;Santai/Healing;Petualangan","Keluarga;Kuliner;Outdoor","Belanja;Sejarah;Religi",0.86,"active_candidate",true,"Core mencakup Alam dan Petualangan karena ada river tubing/rafting/offroad/outbound. Kuliner secondary karena restoran/cafe fasilitas kuat tapi bukan satu-satunya daya tarik."
"Pesona Nirwana Waterpark","keep","Keluarga","Keluarga;Ramah Anak;Outdoor","Petualangan;Santai/Healing","Belanja;Sejarah;Religi",0.82,"active_candidate",true,"Ramah Anak valid core karena waterpark keluarga dengan kolam/wahana anak. Petualangan cukup secondary."
"Penangkaran Rusa Kertamanah","needs_review","Keluarga","Keluarga;Edukasi;Outdoor","Ramah Anak;Alam;Spot Foto","Belanja;Kuliner;Malam",0.60,"status_uncertain",false,"Secara konsep rusa feeding cocok untuk keluarga/edukasi/outdoor, tetapi sumber kuat spesifik untuk Kertamanah belum cukup."
"Tafso Barn","needs_review","Kuliner","Kuliner;Santai/Healing;Spot Foto","Outdoor;Alam;Malam","Belanja;Petualangan;Religi;Sejarah",0.66,"status_uncertain",false,"Alam sebaiknya secondary, bukan core. Ada sumber terbaru menandai permanently closed, jadi perlu verifikasi aktif sebelum dipakai."
"Taman Kupu-Kupu Cihanjuang","keep","Edukasi","Edukasi;Keluarga;Ramah Anak","Outdoor;Spot Foto","Belanja;Kuliner;Malam",0.84,"active_candidate",true,"Primary lebih tepat Edukasi karena daya tarik utama taman konservasi/edukasi kupu-kupu, insectarium, dan pembelajaran satwa."
"Wahoo Waterworld","keep","Keluarga","Keluarga;Ramah Anak;Petualangan","Outdoor;Santai/Healing","Belanja;Sejarah;Religi",0.90,"active_candidate",true,"Petualangan valid core karena banyak wahana ekstrem. Ramah Anak juga core karena ada Aqua Zone, Splash Zone, Play Zone, dan area anak."
"Imah Seniman Lembang","keep","Santai/Healing","Santai/Healing;Kuliner;Alam","Budaya;Keluarga;Outdoor","Belanja;Gratis;Petualangan",0.82,"active_candidate",true,"Core Santai/Healing, Kuliner, dan Alam. Budaya secondary karena konsep arsitektur/tradisional Sunda mendukung suasana. Gratis dihapus."
"Desa Wisata Buricak Burinong","remove","Alam","Alam;Spot Foto;Petualangan","Budaya;Kuliner;Outdoor","Belanja;Sejarah;Religi",0.78,"exclude_scope",false,"Wisata valid, tetapi berada di Darmaraja, Sumedang/Waduk Jatigede, bukan Bandung Raya. Hapus dari dataset jika scope tetap Bandung Raya."
