location_id,location_name,category,multi_labels,avg_sentimen_skor,total_ulasan,sentimen_label_lokasi,latitude,longitude,price_min,price_max,jam_buka,jam_tutup,estimasi_durasi_menit,deskripsi_google,price_type,subcategory,tags_sintetis,jam_buka_weekday,jam_tutup_weekday,jam_buka_weekend,jam_tutup_weekend,sumber_deskripsi,sumber_jam,status_deskripsi,status_jam,catatan_jam,avg_rating,ulasan_positif,ulasan_negatif,primary_intent,core_labels,secondary_labels,avoid_labels,label_confidence,needs_manual_review,review_reason,label_reason,label_scores_json,label_source,review_status,manual_primary_intent,manual_core_labels,manual_secondary_labels,manual_avoid_labels,final_primary_intent,final_core_labels,final_secondary_labels,final_avoid_labels,curation_action,display_status,is_active_verified,manual_review_confidence,curation_note,final_label_source,price_verified,night_verified,indoor_verified,child_friendly_verified,qa_flag_reason,parking_verified,wheelchair_accessible_verified,toilet_verified,mushola_verified,pet_friendly_verified,open_24h_verified,crowd_level,shopping_subtype,coordinate_verified,distance_from_alun_alun_km,coordinate_audit_reason,safety_verified,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available,media_available,media_image_url,media_destination_url,media_website,media_source,media_place_id,media_match_title,media_match_score,media_match_method,media_audit_status,media_audit_note
LOC-001,23 Paskal Shopping Center,Tempat Belanja,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Belanja']",0.48,200.0,Positif,-6.9153879,107.5943024,0,0,10:00,22:00,150,"Pusat perbelanjaan kontemporer bertingkat dengan retailer ternama, serta bioskop & pujasera.",Gratis,Mall,"Belanja, Indoor, Kuliner, Modern",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,3.89,142.0,46.0,Belanja,Belanja;Indoor;Gratis,Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,1.0,False,,Belanja: category=Tempat Belanja (+5) | subcategory keyword: mall (+1.2) | tags keyword: belanja (+1.05) || Indoor: category=Tempat Belanja (+2) | subcategory keyword: mall (+1.2) | tags keyword: indoor (+1.05) || Gratis: price_type/price_max indicates free (+3) || Kuliner: category=Tempat Belanja (+1) | tags keyword: kuliner (+1.05) | description keyword: pujasera (+0.75) || Malam: opening hours support night visit (+1.5),"{""Alam"": -2.25, ""Belanja"": 10.35, ""Gratis"": 3.0, ""Indoor"": 5.75, ""Kuliner"": 2.3, ""Malam"": 1.5, ""Ramah Anak"": 0.25, ""Santai/Healing"": 0.8, ""Spot Foto"": 0.25}",auto_rule_v1,auto_approved,,,,,Belanja,Belanja;Indoor;Gratis,Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,keep,active_candidate,,,"Updated master status/facility 2026-05-27; facility_status=lengkap; facility_evidence=mengikuti_catatan_lama; facilities=Area Parkir, Toilet, Mushola, Akses/Kursi Roda; action=review_sumber_lama_jika_perlu; note=Kursi roda gratis pinjam di info center. Toilet ramah disabilitas. Mushola lantai 2 & basement.; revision=Data dari tabel fasilitas sebelumnya dipertahankan.",auto_rule_v1,True,True,True,False,updated_master_status_facility_2026-05-27:facility,True,True,True,True,False,False,medium,Mall,True,1.58,,False,0.48,tfidf_linearsvc,run_nlp_pipeline_v2,True,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmnNbt2HObP8bIj8T5woz2_Gn4brOIG10tz3GJpIWh6ZgQIt7WBwx53tqe2CIplibjofUBDa5RONLBkTZR4J96dzdqzcI9Vo0WjbgR6_fFknEeTe-I4LVEnR10BNhRqem_aWKWYFCPppv8=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=23%20PASKAL%20Shopping%20Center&query_place_id=ChIJY5o-gCXnaC4Reo4OMevT_Ic,https://23paskal.id/,google_maps_extractor_2026_05_19,,23 PASKAL Shopping Center,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-002,Alam Wisata Cimahi,Rekreasi Keluarga,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner']",0.8380149812734082,1068.0,Sangat Positif,-6.8408401,107.5512452,0,0,08:00,18:00,180,"Destinasi eduwisata populer di Kota Cimahi yang memadukan rekreasi keluarga dengan edukasi pertanian, peternakan, kuliner, dan outbound.",Gratis,Kawasan rekreasi keluarga,"Keluarga, Anak-anak, Wahana, Seru",08:00,17:00,08:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",4.440074906367041,934.0,39.0,Keluarga,Keluarga;Kuliner;Alam,Ramah Anak;Edukasi;Petualangan,Belanja,1.0,False,,"Keluarga: category=Rekreasi Keluarga (+4.5) | subcategory keyword: keluarga, rekreasi keluarga (+2.4) | tags keyword: keluarga, anak, anak-anak, wahana (+4.2) || Kuliner: description keyword: kuliner (+0.75) | old multi_labels=Kuliner (+1) | family attraction with explicit culinary evidence (+2.5) || Alam: name keyword: alam (+0.6) | old multi_labels=Alam (+1) | family attraction with explicit nature evidence (+2) || Ramah Anak: category=Rekreasi Keluarga (+2.5) | tags keyword: anak, anak-anak (+2.1) | description keyword: peternakan, eduwisata (+1.5) || Edukasi: description keyword: edukasi, peternakan, pertanian, eduwisata (+3) || Petualangan: description keyword: outbound (+0.75) | family attraction with adventure/outbound evidence (+1.5)","{""Alam"": 3.6, ""Belanja"": -2.0, ""Edukasi"": 3.0, ""Gratis"": 3.0, ""Keluarga"": 13.35, ""Kuliner"": 4.25, ""Malam"": 1.5, ""Outdoor"": 0.6, ""Petualangan"": 2.25, ""Ramah Anak"": 7.1, ""Spot Foto"": 0.25}",auto_rule_v1,auto_approved,,,,,Keluarga,Keluarga;Kuliner;Alam,Ramah Anak;Edukasi;Petualangan;Gratis,Belanja,keep,active_candidate,,,"Updated master status/facility 2026-05-27; facility_status=lengkap; facility_evidence=ringkasan_agent_belum_url_per_baris; facilities=Area Parkir, Toilet, Mushola, Restoran, Kolam Renang, Outbound, Spot Foto; action=ready_sebagai_data_awal_fasilitas_umum; note=Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Restoran, Kolam Renang, Outbound, Spot Foto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.; revision=Sebelumnya kosong total, kini fasilitas utama sudah terisi.",auto_rule_v1,True,False,False,True,Gratis label added: verified free entry | updated_master_status_facility_2026-05-27:facility,True,False,True,True,False,False,unknown,,True,10.91,,False,0.8380149812734082,tfidf_linearsvc,run_nlp_pipeline_v2,True,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEBukqrTnWIISJQsVMT1xA_l959VCV0ME4njBWfRviwqkeb-ZrpxjCqWI4F2ilKeAKUOTnImVJpBGGhclUHZGVcBAEnbu-1nVbHrWf0hB_TYsq0DmgUkfG2PL1OiQhFlO-AgSQ=w408-h273-k-no,https://www.google.com/maps/search/?api=1&query=Alam%20Wisata%20Cimahi&query_place_id=ChIJAbspL_PjaC4RGwfytELeq50,,google_maps_extractor_2026_05_19,,Alam Wisata Cimahi,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-003,Alun-Alun Kota Bandung,Taman Kota,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Belanja', 'Santai/Healing']",0.675,200.0,Sangat Positif,-6.92156,107.607105,0,0,00:00,23:59,60,Alun-alun & tempat berkumpul dengan hamparan rumput sintetis serta pemandangan masjid agung dan kota.,Gratis,Ruang publik kota,"Ruang Publik, Santai, Jalan-jalan",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.225,158.0,23.0,Santai/Healing,Santai/Healing;Gratis,Spot Foto;Keluarga;Alam,Belanja;Petualangan;Sejarah,1.0,False,,"Santai/Healing: category=Taman Kota (+3.5) | subcategory keyword: ruang publik (+1.2) | tags keyword: santai, ruang publik (+2.1) || Gratis: price_type/price_max indicates free (+3) || Spot Foto: category=Taman Kota (+1) | description keyword: pemandangan (+0.75) | old multi_labels=Spot Foto (+1) || Keluarga: category=Taman Kota (+2.5) || Alam: description keyword: pemandangan (+0.75) | old multi_labels=Alam (+1)","{""Alam"": 1.75, ""Belanja"": -1.75, ""Gratis"": 3.0, ""Keluarga"": 2.5, ""Kuliner"": -1.25, ""Malam"": 1.5, ""Outdoor"": 2.0, ""Ramah Anak"": 1.75, ""Religi"": 0.75, ""Santai/Healing"": 8.55, ""Spot Foto"": 2.75}",auto_rule_v1,auto_approved,,,,,Santai/Healing,Santai/Healing;Gratis,Spot Foto;Keluarga;Alam,Belanja;Petualangan;Sejarah,keep,active_candidate,,,,auto_rule_v1,True,False,False,False,,False,False,False,True,False,False,medium,,True,0.02,,True,0.675,tfidf_linearsvc,run_nlp_pipeline_v2,True,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFmlSKP7CsUFzyfybMkNCEvcp23MjtiITuvpxyK5NSXFZxvhpCQCWv4yOw_8pYuqzOjEL62rHLq1zk6s5Mor6us1Uj-uShSGYgpDwEL6sli4mH4WLXKqZyGd4qFsdIqwfNphGk3bQ=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Alun-alun%20Kota%20Bandung&query_place_id=ChIJMcIOvp3oaC4RZdAMyaoSdBc,,google_maps_extractor_2026_05_19,,Alun-alun Kota Bandung,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-004,Alun-Alun Sumedang,Taman Kota,['Umum'],0.0,0.0,,-6.8601203,107.9207044,0,0,00:00,23:59,60,"Ruang terbuka publik di pusat kota Sumedang dengan Monumen Lingga yang ikonik, ramah anak, dan memiliki taman bermain serta area duduk santai.",Gratis,Ruang publik kota,"Ruang Publik, Santai, Jalan-jalan",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,,,,Santai/Healing,Santai/Healing;Ramah Anak;Keluarga,Spot Foto;Gratis;Outdoor,Belanja;Kuliner;Petualangan;Sejarah,1.0,False,,"Santai/Healing: category=Taman Kota (+3.5) | subcategory keyword: ruang publik (+1.2) | tags keyword: santai, ruang publik (+2.1) || Ramah Anak: category=Taman Kota (+1.5) | description keyword: ramah anak, anak, taman bermain (+2.25) || Keluarga: category=Taman Kota (+2.5) | description keyword: anak (+0.75) || Spot Foto: category=Taman Kota (+1) | description keyword: ikonik (+0.75) || Gratis: price_type/price_max indicates free (+3) || Outdoor: category=Taman Kota (+2) | description keyword: taman (+0.75)","{""Belanja"": -2.0, ""Gratis"": 3.0, ""Keluarga"": 3.25, ""Kuliner"": -1.5, ""Malam"": 1.5, ""Outdoor"": 2.75, ""Ramah Anak"": 3.75, ""Santai/Healing"": 8.3, ""Sejarah"": 0.75, ""Spot Foto"": 1.75}",auto_rule_v1,auto_approved,,,,,Santai/Healing,Santai/Healing;Ramah Anak;Keluarga,Spot Foto;Gratis;Outdoor,Belanja;Kuliner;Petualangan;Sejarah,remove,exclude_scope,False,,QA override: Sumedang destination is outside strict Bandung Raya scope.,realworld_qa_override,True,False,False,True,,False,False,False,False,False,False,medium,,True,35.29,,True,0.0,unavailable,,False,False,,,,,,Alun-Alun,0.6667,missing,missing,No reliable media match.
LOC-005,Amazing Artgames,Rekreasi Keluarga,"['Alam', 'Ramah Anak', 'Spot Foto', 'Edukasi', 'Kuliner', 'Belanja', 'Wahana Ekstrem']",0.93,200.0,Sangat Positif,-6.8515827,107.5952858,35000,50000,08:00,18:00,180,Museum interaktif tempat pengunjung dapat berpose & berfoto dengan lanskap 3D yang imajinatif.,Per Orang,Wahana foto interaktif,"Keluarga, Anak-anak, Wahana, Seru",10:00,18:00,10:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.625,190.0,4.0,Keluarga,Keluarga;Edukasi;Spot Foto,Ramah Anak,Belanja,1.0,False,,"Keluarga: category=Rekreasi Keluarga (+4.5) | subcategory keyword: wahana (+1.2) | tags keyword: keluarga, anak, anak-anak, wahana (+4.2) || Edukasi: subcategory keyword: interaktif (+1.2) | description keyword: museum, interaktif (+1.5) | old multi_labels=Edukasi (+1) || Spot Foto: subcategory keyword: foto (+1.2) | description keyword: 3d, lanskap (+1.5) | old multi_labels=Spot Foto (+1) || Ramah Anak: category=Rekreasi Keluarga (+2.5) | tags keyword: anak, anak-anak (+2.1) | old multi_labels=Ramah Anak (+1)","{""Alam"": 0.25, ""Belanja"": -1.75, ""Edukasi"": 3.7, ""Indoor"": 0.75, ""Keluarga"": 9.9, ""Kuliner"": -1.25, ""Petualangan"": 0.25, ""Ramah Anak"": 5.6, ""Spot Foto"": 3.7}",auto_rule_v1,auto_approved,,,,,Keluarga,Keluarga;Edukasi;Spot Foto,Ramah Anak,Belanja,keep,active_candidate,,,"Updated master status/facility 2026-05-27; facility_status=lengkap; facility_evidence=ringkasan_agent_belum_url_per_baris; facilities=Area Parkir, Toilet, Mushola, Spot Foto 3D, Wahana Permainan, Cafe; action=ready_sebagai_data_awal_fasilitas_umum; note=Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Spot Foto 3D, Wahana Permainan, Cafe. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.; revision=Sebelumnya kosong total, kini fasilitas utama sudah terisi.",auto_rule_v1,True,False,False,True,updated_master_status_facility_2026-05-27:facility,True,False,True,True,False,False,unknown,,True,7.91,,False,0.93,tfidf_linearsvc,run_nlp_pipeline_v2,True,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbvStL1vIqEnHrmIwBmjvnMMT-ADWetnpKSr5aoOa-F2CxJpvc-v8FrAOZsU-DH4-0A04uzI-aP3GQlKxqVSQF2tc1rxyQAo9UdCLha58UW5BC5bu_tOeRNSORcN6pOgWbKVw=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Amazing%20Artgames&query_place_id=ChIJJxuuu7fmaC4RJ3PO4pMZDwU,https://www.instagram.com/amazingartgames/,google_maps_extractor_2026_05_19,,Amazing Artgames,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-006,Bandung Carnival Land,Rekreasi Keluarga,"['Ramah Anak', 'Kuliner']",0.5681818181818182,88.0,Positif,-6.8783006,107.5951986,10000,10000,12:00,20:00,180,"Taman hiburan keluarga yang berlokasi dekat kolam renang Karang Setra Bandung, menawarkan berbagai wahana permainan terusan seperti Cinema 4D, Rumah Hantu, Sepeda Udara, dan Boom Boom Car.",Per Orang,Taman hiburan,"Keluarga, Anak-anak, Wahana, Seru",11:00,22:00,11:00,23:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",4.170454545454546,63.0,13.0,Keluarga,Keluarga;Ramah Anak,Santai/Healing;Outdoor;Malam,Belanja,1.0,False,,"Keluarga: category=Rekreasi Keluarga (+4.5) | tags keyword: keluarga, anak, anak-anak, wahana (+4.2) | description keyword: keluarga, wahana (+1.5) || Ramah Anak: category=Rekreasi Keluarga (+2.5) | tags keyword: anak, anak-anak (+2.1) | old multi_labels=Ramah Anak (+1) || Santai/Healing: subcategory keyword: taman (+1.2) | description keyword: taman (+0.75) || Outdoor: subcategory keyword: taman (+1.2) | description keyword: taman (+0.75) || Malam: opening hours support night visit (+1.5)","{""Belanja"": -2.0, ""Keluarga"": 10.2, ""Kuliner"": -1.25, ""Malam"": 1.5, ""Outdoor"": 1.95, ""Ramah Anak"": 5.6, ""Santai/Healing"": 1.95}",auto_rule_v1,auto_approved,,,,,Keluarga,Keluarga;Ramah Anak,Santai/Healing;Outdoor,Belanja;Malam,keep,active_candidate,,,"Updated master status/facility 2026-05-27; facility_status=lengkap; facility_evidence=ringkasan_agent_belum_url_per_baris; facilities=Area Parkir, Toilet, Mushola, Wahana Permainan, Food Court, Spot Foto; action=ready_sebagai_data_awal_fasilitas_umum; note=Diisi dari ringkasan fasilitas yang diberikan user/AI agent: Area Parkir, Toilet, Mushola, Wahana Permainan, Food Court, Spot Foto. Kolom kursi roda dan pet friendly tetap ? jika tidak disebut eksplisit.; revision=Sebelumnya kosong total, kini fasilitas utama sudah terisi.",auto_rule_v1,True,False,False,True,Malam label removed: not night_verified | updated_master_status_facility_2026-05-27:facility,True,False,True,True,False,False,unknown,,True,5.01,,True,0.5681818181818182,tfidf_linearsvc,run_nlp_pipeline_v2,True,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFYPN-M5Ope6ytOmb6U4Esfcd6xWPIuHkV3R7R3_HX6avqlq8pyn5Mlpyhhu2WWyhjl7YTc-zWGezFzxjHuxGR83ddKDLTEhjEo6eHqahxuIIkMkIrkZty7LzxfjwQFWZ7Bdpc=w408-h306-k-no,https://www.google.com/maps/search/?api=1&query=Bandung%20Carnival%20Land&query_place_id=ChIJV5Cb-IzmaC4RmueQMGTE3VE,,google_maps_extractor_2026_05_19,,Bandung Carnival Land,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-007,Bandung Indah Plaza,Tempat Belanja,"['Alam', 'Ramah Anak', 'Kuliner', 'Belanja']",0.775,200.0,Sangat Positif,-6.908338,107.6112548,0,0,10:00,22:00,150,"Pusat perbelanjaan ramai dengan department store, butik bertingkat & restoran kasual.",Gratis,Pusat belanja,"Belanja, Indoor, Kuliner, Modern",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.33,173.0,18.0,Belanja,Belanja;Indoor;Gratis,Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,1.0,False,,Belanja: category=Tempat Belanja (+5) | subcategory keyword: belanja (+1.2) | tags keyword: belanja (+1.05) || Indoor: category=Tempat Belanja (+2) | tags keyword: indoor (+1.05) | description keyword: pusat perbelanjaan (+0.75) || Gratis: price_type/price_max indicates free (+3) || Kuliner: category=Tempat Belanja (+1) | tags keyword: kuliner (+1.05) | description keyword: restoran (+0.75) || Malam: opening hours support night visit (+1.5),"{""Alam"": -2.25, ""Belanja"": 9.0, ""Gratis"": 3.0, ""Indoor"": 3.8, ""Kuliner"": 2.3, ""Malam"": 1.5, ""Ramah Anak"": 0.25, ""Santai/Healing"": 0.8}",auto_rule_v1,auto_approved,,,,,Belanja,Belanja;Indoor;Gratis,Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,keep,active_candidate,,,"Updated master status/facility 2026-05-27; facility_status=lengkap; facility_evidence=mengikuti_catatan_lama; facilities=Area Parkir, Toilet, Mushola, Akses/Kursi Roda; action=review_sumber_lama_jika_perlu; note=Mall besar; umumnya semua fasilitas tersedia. Pet friendly tidak umum di mall.; revision=Data dari tabel fasilitas sebelumnya dipertahankan.",auto_rule_v1,True,True,True,False,updated_master_status_facility_2026-05-27:facility,True,True,True,True,False,False,high,Mall,True,1.56,,False,0.775,tfidf_linearsvc,run_nlp_pipeline_v2,True,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHP3jwG2JH1BfrHIQJSA7WRAYIDnSpFiEqBbvbc9a8j5lGTXiaOru0eJmacOY83j_SQjQtGtELuqU94Vs7u0aqo-DTcLdOVM-3rrGdsPU0DI1m29bAeW2T3fSJahpMUypbsD2_Ff3A_o3El=w408-h544-k-no,https://www.google.com/maps/search/?api=1&query=Bandung%20Indah%20Plaza&query_place_id=ChIJc27DwTfmaC4RjYWcrnohU5I,https://lokasi.lippomalls.com/bandung-indah-plaza-shopping-mall-kec-bandung-wetan-bandung-557252/Home?utm_source=locator&utm_medium=googleplaces,google_maps_extractor_2026_05_19,,Bandung Indah Plaza,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-008,Bandung Science Center,Tempat Belajar,"['Ramah Anak', 'Edukasi']",0.5412844036697247,109.0,Positif,-6.8773023,107.5947081,45000,45000,08:00,16:00,90,"Pusat edukasi sains interaktif di Sukasari Bandung dengan beragam alat peraga astronomi, robotik, fisika, dan kimia, menempati gedung bersejarah yang pernah dikunjungi Bung Karno.",Per Orang,Science center,"Wisata, Umum, Menarik",09:00,17:00,09:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,3.8623853211009176,76.0,17.0,Edukasi,Edukasi,Indoor,Alam;Belanja;Kuliner;Petualangan,1.0,False,,"Edukasi: category=Tempat Belajar (+5) | subcategory keyword: science (+1.2) | description keyword: edukasi, sains, interaktif (+2.25) || Indoor: category=Tempat Belajar (+2) | description keyword: gedung (+0.75)","{""Alam"": -2.5, ""Belanja"": -2.0, ""Edukasi"": 10.05, ""Indoor"": 2.75, ""Keluarga"": 1.0, ""Kuliner"": -1.5, ""Ramah Anak"": 0.25, ""Sejarah"": 0.75}",auto_rule_v1,reviewed,,,,,Edukasi,Edukasi,Indoor,Alam;Belanja;Kuliner;Petualangan,hide_temporarily,temporarily_hidden,False,,"Updated master status/facility 2026-05-27; status=✗ Tutup Permanen; decision=exclude_closed; confidence=High; sources=User correction, 2026-05-26; note=Dikoreksi oleh user: Bandung Science Center sudah tutup permanen. Jangan dipakai sebagai destinasi aktif.; revision=Status diubah dari belum pasti menjadi tutup permanen.",auto_rule_v1,True,False,True,False,updated_master_status_facility_2026-05-27:status:exclude_closed,False,False,False,False,False,False,unknown,,True,5.13,,False,0.5412844036697247,tfidf_linearsvc,run_nlp_pipeline_v2,True,False,,,,,,Science Centre Soreang (SCS),0.5833,missing,missing,No reliable media match.
LOC-009,Bendungan Jatigede,Wisata Alam,"['Alam', 'Spot Foto']",0.7,50.0,Sangat Positif,-6.85639,108.09472,15000,20000,08:00,17:00,120,"Bendungan terbesar kedua di Indonesia yang membendung Sungai Cimanuk Sumedang, menawarkan keindahan waduk berlatar perbukitan yang populer untuk memancing, susur air dengan perahu, dan foto rekreasi.",Per Orang,Bendungan,"Alam, Outdoor, Pemandangan, Udara Segar",08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.26,42.0,7.0,Alam,Alam;Spot Foto;Outdoor,Santai/Healing,Belanja;Indoor;Kuliner;Religi,0.99,False,,"Alam: category=Wisata Alam (+4) | tags keyword: alam, pemandangan (+2.1) | description keyword: sungai (+0.75) || Spot Foto: category=Wisata Alam (+1.5) | tags keyword: pemandangan (+1.05) | description keyword: foto (+0.75) || Outdoor: category=Wisata Alam (+2.5) | tags keyword: outdoor, alam (+2.1) || Santai/Healing: category=Wisata Alam (+1.5) | tags keyword: pemandangan (+1.05)","{""Alam"": 7.85, ""Belanja"": -2.0, ""Kuliner"": -1.5, ""Outdoor"": 4.6, ""Santai/Healing"": 2.55, ""Spot Foto"": 4.3}",auto_rule_v1,auto_approved,,,,,Alam,Alam;Spot Foto;Outdoor,Santai/Healing,Belanja;Indoor;Kuliner;Religi,remove,exclude_scope,False,,QA override: Jatigede/Sumedang destination is outside strict Bandung Raya scope.,realworld_qa_override,True,False,False,False,,False,False,False,False,False,False,unknown,,True,54.32,,False,0.7,tfidf_linearsvc,run_nlp_pipeline_v2,True,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHiNZFMzykBAJkrWsmEyeMz6rOMuVBD3A-HeSNWqpBUAMNizSGa0WOCrxD_GMB78kS97e00TVoSyewPRA03GpBT68AZPBurWQnAzmRKkHlroLvGnUS_hlUHP5YMc58lq8QT9RBJLQ=w408-h270-k-no,https://www.google.com/maps/search/?api=1&query=Bendungan%20Jatigede&query_place_id=ChIJlYDVNQ8tby4R022zvEUEPcM,https://www.youtube.com/@jatigedechanel,google_maps_extractor_2026_05_19,,Bendungan Jatigede,1.0,exact_normalized_title,accepted,Exact normalized title match.
LOC-010,Braga Citywalk,Tempat Belanja,"['Alam', 'Spot Foto', 'Edukasi', 'Kuliner', 'Belanja', 'Santai/Healing', 'Wahana Ekstrem']",0.885,200.0,Sangat Positif,-6.917113,107.6084023,0,0,10:00,22:00,150,"Kawasan mixed-use ikonik di pusat Kota Bandung yang menggabungkan pusat perbelanjaan, apartemen, dan hotel dengan gaya arsitektur Art Deco khas kolonial.",Gratis,Citywalk,"Belanja, Indoor, Kuliner, Modern",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.57,182.0,5.0,Belanja,Belanja;Indoor;Gratis,Spot Foto;Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,0.986,False,,Belanja: category=Tempat Belanja (+5) | tags keyword: belanja (+1.05) | description keyword: pusat perbelanjaan (+0.75) || Indoor: category=Tempat Belanja (+2) | tags keyword: indoor (+1.05) | description keyword: pusat perbelanjaan (+0.75) || Gratis: price_type/price_max indicates free (+3) || Spot Foto: description keyword: ikonik (+0.75) | old multi_labels=Spot Foto (+1) || Kuliner: category=Tempat Belanja (+1) | tags keyword: kuliner (+1.05) | old multi_labels=Kuliner (+1) || Malam: opening hours support night visit (+1.5),"{""Alam"": -2.25, ""Belanja"": 7.8, ""Edukasi"": 0.25, ""Gratis"": 3.0, ""Indoor"": 3.8, ""Kuliner"": 1.55, ""Malam"": 1.5, ""Petualangan"": 0.25, ""Santai/Healing"": 1.05, ""Sejarah"": 0.75, ""Spot Foto"": 1.75}",auto_rule_v1,auto_approved,,,,,Belanja,Belanja;Indoor;Gratis,Spot Foto;Kuliner;Malam,Alam;Petualangan;Religi;Sejarah,keep,active_candidate,,,"Updated master status/facility 2026-05-27; facility_status=sebagian; facility_evidence=mengikuti_catatan_lama; facilities=Area Parkir, Toilet, Mushola; action=review_sumber_lama_jika_perlu; note=Area outdoor semi-terbuka, parkir tersedia. Kursi roda & pet friendly belum terkonfirmasi.; revision=Data dari tabel fasilitas sebelumnya dipertahankan.",auto_rule_v1,True,True,True,False,updated_master_status_facility_2026-05-27:facility,True,False,True,True,False,False,medium,Mall,True,0.54,,False,0.885,tfidf_linearsvc,run_nlp_pipeline_v2,True,True,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGB1-jddHamy2JkHn63VEMJacY_amvg-QiehDm4viah4QQ4RhoKeO3dKmaiDMN3gr2wL22cwBKCC_UblnFgvZ3676NppumLjNERP_-TcHKRatkFO-UdOkE34dkQe95dmuF4lYkMyQ=w408-h307-k-no,https://www.google.com/maps/search/?api=1&query=Braga%20CityWalk&query_place_id=ChIJKx94lRjmaC4R-sOzyqFC7P0,http://www.bragacitywalk.co.id/,google_maps_extractor_2026_05_19,,Braga CityWalk,1.0,exact_normalized_title,accepted,Exact normalized title match.
