penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews,p2_sentiment_policy_status,recommended_action,decision_reason,accepted_review_rows,accepted_review_text_rows,held_review_rows,held_status_summary,start_url
LODGE-00866,Aston Pasteur,hotel,-6.8936,107.5872,4.6,16164.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,14,0,,https://www.google.com/maps/search/?api=1&query=Aston%20Pasteur%20-6.8936%2C107.5872
LODGE-00906,GH Universal Hotel,hotel,-6.8506,107.5981,4.7,11824.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,25,0,,https://www.google.com/maps/search/?api=1&query=GH%20Universal%20Hotel%20-6.8506%2C107.5981
LODGE-00889,Clove Garden Hotel Bandung,hotel,-6.8727,107.6426,4.6,11739.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,29,0,,https://www.google.com/maps/search/?api=1&query=Clove%20Garden%20Hotel%20Bandung%20-6.8727%2C107.6426
LODGE-00913,Grand Hotel Preanger,hotel,-6.921,107.6119,4.5,7805.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,15,0,,https://www.google.com/maps/search/?api=1&query=Grand%20Hotel%20Preanger%20-6.921%2C107.6119
LODGE-00909,Golden Flower Hotel,hotel,-6.9204,107.6049,4.3,7134.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,17,0,,https://www.google.com/maps/search/?api=1&query=Golden%20Flower%20Hotel%20-6.9204%2C107.6049
LODGE-01610,Favehotel Hyper Square,hotel,-6.9162,107.5946,4.4,6458.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,9,0,,https://www.google.com/maps/search/?api=1&query=Favehotel%20Hyper%20Square%20-6.9162%2C107.5946
LODGE-00908,Gino Feruci Braga Hotel,hotel,-6.9178,107.6091,4.3,6214.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,26,0,,https://www.google.com/maps/search/?api=1&query=Gino%20Feruci%20Braga%20Hotel%20-6.9178%2C107.6091
LODGE-00912,Grand Dafam Braga Bandung,hotel,-6.9168,107.609,4.8,4516.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,22,0,,https://www.google.com/maps/search/?api=1&query=Grand%20Dafam%20Braga%20Bandung%20-6.9168%2C107.609
LODGE-00824,Grand Panorama Lembang,hotel,-6.8104,107.6249,4.2,2082.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,22,0,,https://www.google.com/maps/search/?api=1&query=Grand%20Panorama%20Lembang%20-6.8104%2C107.6249
LODGE-00907,Geary Hotel,hotel,-6.9125,107.6033,4.5,1716.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,18,0,,https://www.google.com/maps/search/?api=1&query=Geary%20Hotel%20-6.9125%2C107.6033
LODGE-00884,Cherry Homes Hotel & Residence,hotel,-6.887,107.5843,4.2,1624.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,20,0,,https://www.google.com/maps/search/?api=1&query=Cherry%20Homes%20Hotel%20%26%20Residence%20-6.887%2C107.5843
LODGE-01234,Chara Hotel,hotel,-6.9225,107.6197,4.0,1386.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,20,0,,https://www.google.com/maps/search/?api=1&query=Chara%20Hotel%20-6.9225%2C107.6197
LODGE-00886,Cihampelas Hotel 1 - Bandung,hotel,-6.889,107.6042,4.0,631.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,26,0,,https://www.google.com/maps/search/?api=1&query=Cihampelas%20Hotel%201%20-%20Bandung%20-6.889%2C107.6042
LODGE-01013,RedDoorz near Telkom Corporate University,hotel,-6.8724,107.5903,2.9,385.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,17,0,,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Telkom%20Corporate%20University%20-6.8724%2C107.5903
LODGE-01289,Mypodroom,hotel,-6.9229,107.6093,4.7,362.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,26,0,,https://www.google.com/maps/search/?api=1&query=Mypodroom%20-6.9229%2C107.6093
LODGE-01433,Cove Vaia - Coliving Bandung,hotel,-6.9366,107.6151,4.9,253.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,19,0,,https://www.google.com/maps/search/?api=1&query=Cove%20Vaia%20-%20Coliving%20Bandung%20-6.9366%2C107.6151
LODGE-01359,Graha Asri Hotel,hotel,-6.8493,107.5978,3.4,115.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,13,0,,https://www.google.com/maps/search/?api=1&query=Graha%20Asri%20Hotel%20-6.8493%2C107.5978
LODGE-00392,C Family Hotel,hotel,-6.877606,107.548351,4.8,77.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,15,60,held_foreign_result:60,https://www.google.com/maps/search/?api=1&query=C%20Family%20Hotel%20-6.877606%2C107.548351
LODGE-00139,The Cluster Harris,hotel,-6.8948241,107.5397126,4.5,57.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,17,0,,https://www.google.com/maps/search/?api=1&query=The%20Cluster%20Harris%20-6.8948241%2C107.5397126
LODGE-01442,Dancenter Promenade Near Cihampelas Walk,hotel,-6.8969,107.6036,2.2,41.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,23,0,,https://www.google.com/maps/search/?api=1&query=Dancenter%20Promenade%20Near%20Cihampelas%20Walk%20-6.8969%2C107.6036
LODGE-00435,Bobo inn Baros,hotel,-6.8986029,107.5368741,4.0,1.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,1,0,30,held_name_mismatch:30,https://www.google.com/maps/search/?api=1&query=Bobo%20inn%20Baros%20-6.8986029%2C107.5368741
LODGE-00080,Cottonwood Bed & Breakfast House Bandung,guest_house,-6.8863181,107.577594,4.6,853.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,20,0,,https://www.google.com/maps/search/?api=1&query=Cottonwood%20Bed%20%26%20Breakfast%20House%20Bandung%20-6.8863181%2C107.577594
LODGE-00081,LN9 Bandung Guest House,guest_house,-6.8823948,107.5793923,4.3,585.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,19,0,,https://www.google.com/maps/search/?api=1&query=LN9%20Bandung%20Guest%20House%20-6.8823948%2C107.5793923
LODGE-01133,Hotel Doorman Guest House,guest_house,-6.9175,107.5997,4.6,337.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,16,0,,https://www.google.com/maps/search/?api=1&query=Hotel%20Doorman%20Guest%20House%20-6.9175%2C107.5997
LODGE-00070,OYO 3463 Cimahi Guest House,guest_house,-6.8982,107.5613,3.7,323.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,16,0,,https://www.google.com/maps/search/?api=1&query=OYO%203463%20Cimahi%20Guest%20House%20-6.8982%2C107.5613
LODGE-00114,Micasa Guest House Bandung,guest_house,-6.8892,107.5795,3.3,302.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,18,0,,https://www.google.com/maps/search/?api=1&query=Micasa%20Guest%20House%20Bandung%20-6.8892%2C107.5795
LODGE-00054,Villa Tibra,villa,-6.8251,107.5545,4.7,1602.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,29,0,,https://www.google.com/maps/search/?api=1&query=Villa%20Tibra%20-6.8251%2C107.5545
LODGE-00524,Villa Kayu Ciwidey,villa,-7.1118,107.4237,4.5,67.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,24,0,,https://www.google.com/maps/search/?api=1&query=Villa%20Kayu%20Ciwidey%20-7.1118%2C107.4237
LODGE-00522,Villa Daffa Ciwidey,villa,-7.1036,107.4534,4.25,30.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,17,0,,https://www.google.com/maps/search/?api=1&query=Villa%20Daffa%20Ciwidey%20-7.1036%2C107.4534
LODGE-00584,Seribu Pulau Pangalengan,vacation_rental,-7.1902,107.5504,4.2,165.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,27,0,,https://www.google.com/maps/search/?api=1&query=Seribu%20Pulau%20Pangalengan%20-7.1902%2C107.5504
LODGE-01217,Anori by Kozystay - Bandung,vacation_rental,-6.8693,107.6408,4.78,23.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,2,0,0,,https://www.google.com/maps/search/?api=1&query=Anori%20by%20Kozystay%20-%20Bandung%20-6.8693%2C107.6408
LODGE-01280,Karaton by Kozystay - Paskal,vacation_rental,-6.913,107.5929,3.85,7.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,5,3,0,,https://www.google.com/maps/search/?api=1&query=Karaton%20by%20Kozystay%20-%20Paskal%20-6.913%2C107.5929
LODGE-01189,Tabgha by Kozystay - Dago,vacation_rental,-6.8548,107.6492,4.5,2.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,7,7,0,,https://www.google.com/maps/search/?api=1&query=Tabgha%20by%20Kozystay%20-%20Dago%20-6.8548%2C107.6492
