penginapan_id,name,property_type,property_type_final,property_type_final_after_p3,price_lowest,overall_rating,reviews,same_name_count_p3,candidate_parent_name,p3_decision,ranking_tier_after_p3,primary_ranking_allowed_after_p3,secondary_ranking_allowed_after_p3,drop_from_dataset_after_p3,p3_note
LODGE-00012,Villa Mang Oyan - Two-Bedroom Villa,villa,villa,villa,,,,2,Villa Mang Oyan,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00017,Paddies Homestay (Full Room),guest_house,guest_house,guest_house,,,,2,Paddies Homestay (Full Room),hold_room_level_child,held_room_level_child,False,False,False,"Nama terlihat sebagai kamar/unit kecil, bukan properti utama."
LODGE-00019,Villa Mang Oyan - Two-Bedroom Villa,villa,villa,villa,,,,2,Villa Mang Oyan,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00020,Villa Niscala 2 - Two-Bedroom Villa,villa,villa,villa,,,,2,Villa Niscala 2,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00025,Villa Niscala 2 - Two-Bedroom Villa,villa,villa,villa,,,,2,Villa Niscala 2,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00026,Paddies Homestay (Full Room),guest_house,guest_house,guest_house,,,,2,Paddies Homestay (Full Room),drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00052,Valle Verde Villas - Two-Bedroom Villa,villa,villa,villa,2017880.0,3.9,4.0,2,Valle Verde Villas,secondary_villa_unit,secondary_villa_unit,False,True,False,"Villa/unit spesifik disimpan sebagai secondary, bukan parent utama."
LODGE-00055,2 BR and Sofabed Max 5 Guest Pasteur Gateaway,apartment,apartment,apartment,392727.0,5.0,1.0,1,and Sofabed Max 5 Guest Pasteur Gateaway,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00062,"High Livin Apartment Baros - Apartment, 1 Bedroom",apartment,apartment,apartment,352697.0,2.5,2.0,1,High Livin Apartment Baros,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
LODGE-00074,Valle Verde Villas - Two-Bedroom Villa,villa,villa,villa,2017880.0,3.9,4.0,2,Valle Verde Villas,drop_duplicate_detail_listing,dropped_duplicate_detail_listing,False,False,True,Nama detail/unit duplikat; satu record terbaik dipertahankan.
LODGE-00089,Daymentroom Apartemen R711 2 BR Pasteur Bandung,apartment,apartment,apartment,470898.0,4.567,77.0,2,Daymentroom Apartemen R711 Pasteur Bandung,secondary_apartment_unit,secondary_apartment_unit,False,True,False,"Unit apartemen disimpan sebagai secondary, bukan ranking utama."
