priority,impact_score,task_type,location_id,location_name,category,issue_codes,fields_to_complete,what_to_check,reviewer_decision,evidence_url,latest_review_seen,reviewer_note
P0,111,active_status_verification,LOC-192,Curug Ngebul Gununghalu,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,111,active_status_verification,LOC-196,Curug Walanda Citatah,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,111,active_status_verification,LOC-226,Gunung Nini Pangalengan,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,111,active_status_verification,LOC-176,Padepokan Dayang Sumbi,Tempat Belajar,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,111,active_status_verification,LOC-133,Punclut Bandung (Puncak Ciumbuleuit),Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,111,active_status_verification,LOC-195,Sungai Cikahuripan Green Canyon Saguling,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,111,active_status_verification,LOC-213,Taman Cibeunying,Taman Kota,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,105,active_status_verification,LOC-023,Curug Malela,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,105,active_status_verification,LOC-044,Jans Park (Jatinangor National Park),Rekreasi Keluarga,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,105,active_status_verification,LOC-138,Kebun Teh Sukawana,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,105,active_status_verification,LOC-166,Muara Rahong Hills,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,105,active_status_verification,LOC-069,Pemandian Cipanas Cileungsing,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,105,active_status_verification,LOC-116,Wisata Kampoeng Ciherang,Rekreasi Keluarga,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-008,Bandung Science Center,Tempat Belajar,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-173,Cakrawala Nature Sparkling Restaurant,Tempat Kuliner,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-017,Cihampelas Walk,Tempat Belanja,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-180,Cimory Dairyland Lembang,Wisata Satwa,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-190,Curug Anom,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-201,Curug Batu Templek,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-225,Curug Ceret Pangalengan,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-187,Curug Layung,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-178,De'Ranch Lembang,Wisata Satwa,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-029,Dusun Bambu,Rekreasi Keluarga,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-186,Indiana Camp Lembang,Tempat Camping,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-164,Java Preanger Gunung Tilu,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-163,Kampung Adat Cikondang,Desa Wisata,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-217,Karang Setra Waterland,Wahana Air,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-139,Kawah Rengganis Ciwidey,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-152,Kebun Teh Rancabali,Wisata Alam,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
P0,103,active_status_verification,LOC-219,Museum Inggit Garnasih,Tempat Belajar,W_ACTIVE_VERIFICATION_MISSING,is_active_verified,Cek apakah destinasi masih aktif/buka. Isi reviewer_decision: active / inactive / remove_scope / uncertain.,,,,
