candidate_name,suggested_category,reason,priority,status,notes
Brownies Amanda,kue_bolu_pastry,"Brand oleh-oleh Bandung populer, cocok untuk baseline lanjutan.",high,expansion_candidate_not_verified,"Cari entity utama yang paling relevan dulu."
Prima Rasa,kue_bolu_pastry,"Pusat oleh-oleh Bandung populer, produk pastry/kue kuat.",high,expansion_candidate_not_verified,"Perlu pastikan cabang yang dipakai."
Kartika Sari Bandung,kue_bolu_pastry,"Brand bolen/kue Bandung populer, melengkapi data Lembang.",high,expansion_candidate_not_verified,"Jangan dobel dengan cabang Lembang kalau sudah ada."
Bolu Susu Lembang Official,kue_bolu_pastry,"Produk khas Lembang, cocok untuk query bolu susu.",medium,expansion_candidate_not_verified,"Pastikan bukan duplikat dari data yang sudah ada."
Tahu Susu Lembang,tahu_tempe,"Kategori tahu masih tipis dan penting untuk Lembang.",high,expansion_candidate_not_verified,"Cari outlet/entity utama yang review-nya jelas."
Batagor Kingsley,makanan_siap_saji_oleh_oleh,"Sering dipakai sebagai oleh-oleh kuliner Bandung.",medium,expansion_candidate_not_verified,"Perlu taxonomy baru atau masuk makanan siap saji."
Batagor Riri,makanan_siap_saji_oleh_oleh,"Alternatif batagor populer untuk oleh-oleh.",medium,expansion_candidate_not_verified,"Perlu cek daya tahan dan relevansi bawa pulang."
Oncom Raos,snack_keripik,"Produk khas Bandung, bisa memperkuat snack kering.",medium,expansion_candidate_not_verified,"Perlu validasi toko/entity."
Toko Kue Bawean,kue_bolu_pastry,"Kue legendaris Bandung, relevan untuk buah tangan.",medium,expansion_candidate_not_verified,"Perlu cek cabang dan review."
Mayasari Bakery,kue_bolu_pastry,"Bakery oleh-oleh Bandung, bisa menambah variasi kue.",low,expansion_candidate_not_verified,"Masuk setelah kategori utama stabil."
Pusat Souvenir Bandung,souvenir_non_makanan,"Kategori souvenir masih sangat tipis.",low,expansion_candidate_not_verified,"Harus sangat hati-hati agar tidak jadi toko umum/noise."
Pasar Baru souvenir area,souvenir_non_makanan,"Bisa membantu query souvenir non-makanan.",low,expansion_candidate_not_verified,"Rawan bercampur dengan pasar/wisata belanja; perlu review manual."
