test_id,query,status,issues,rank,name,category,score,base_score,query_score,distance_km,distance_label,produk_utama,price_range,price_min_idr,price_max_idr,price_bucket,price_confidence,daya_tahan_produk,daya_tahan_produk_class,cocok_untuk,best_use_case,warnings,main_recommendation_eligible
OO-AUD-001,snack murah Bandung,PASS,,1,Keripik Tempe Tembul,snack_keripik,73.05,69.0,87.41,,Jarak belum dihitung,Keripik tempe aneka rasa,Rp 15.000 - Rp 35.000,15000,35000,<50k,high,1-3 bulan,tinggi,"Semua kalangan, camilan perjalanan",Camilan di bus/mobil,,True
OO-AUD-001,snack murah Bandung,PASS,,2,Central Snack,snack_keripik,68.48,62.0,91.47,,Jarak belum dihitung,"Camilan ringan, kerupuk, basreng",Rp 10.000 - Rp 40.000,10000,40000,<50k,medium,1-3 bulan,tinggi,Rombongan wisata,Camilan curah/grosir,price_estimate_medium_confidence,True
OO-AUD-001,snack murah Bandung,PASS,,3,*UMMI* Snack Lembang,snack_keripik,67.66,62.0,87.73,,Jarak belum dihitung,"Aneka snack kemasan, keripik, sale pisang",Rp 15.000 - Rp 45.000,15000,45000,<50k,medium,1-3 bulan,tinggi,"Rombongan, camilan perjalanan",Nyemil di kendaraan,review_text_low;price_estimate_medium_confidence,True
OO-AUD-001,snack murah Bandung,PASS,,4,Bubunasnack,snack_keripik,61.55,53.0,91.88,,Jarak belum dihitung,"Keripik, makanan kering ringan",Rp 15.000 - Rp 35.000,15000,35000,<50k,medium,1-2 bulan,tinggi,Semua usia,Teman nonton,manual_low_rank;price_estimate_medium_confidence,True
OO-AUD-002,snack di bawah 50 ribu,PASS,,1,Keripik Tempe Tembul,snack_keripik,73.05,69.0,87.41,,Jarak belum dihitung,Keripik tempe aneka rasa,Rp 15.000 - Rp 35.000,15000,35000,<50k,high,1-3 bulan,tinggi,"Semua kalangan, camilan perjalanan",Camilan di bus/mobil,,True
OO-AUD-002,snack di bawah 50 ribu,PASS,,2,Central Snack,snack_keripik,68.48,62.0,91.47,,Jarak belum dihitung,"Camilan ringan, kerupuk, basreng",Rp 10.000 - Rp 40.000,10000,40000,<50k,medium,1-3 bulan,tinggi,Rombongan wisata,Camilan curah/grosir,price_estimate_medium_confidence,True
OO-AUD-002,snack di bawah 50 ribu,PASS,,3,*UMMI* Snack Lembang,snack_keripik,67.66,62.0,87.73,,Jarak belum dihitung,"Aneka snack kemasan, keripik, sale pisang",Rp 15.000 - Rp 45.000,15000,45000,<50k,medium,1-3 bulan,tinggi,"Rombongan, camilan perjalanan",Nyemil di kendaraan,review_text_low;price_estimate_medium_confidence,True
OO-AUD-002,snack di bawah 50 ribu,PASS,,4,Bubunasnack,snack_keripik,61.55,53.0,91.88,,Jarak belum dihitung,"Keripik, makanan kering ringan",Rp 15.000 - Rp 35.000,15000,35000,<50k,medium,1-2 bulan,tinggi,Semua usia,Teman nonton,manual_low_rank;price_estimate_medium_confidence,True
OO-AUD-003,oleh-oleh tahan perjalanan jauh,PASS,,1,Keripik Tempe Tembul,snack_keripik,72.48,69.0,84.81,,Jarak belum dihitung,Keripik tempe aneka rasa,Rp 15.000 - Rp 35.000,15000,35000,<50k,high,1-3 bulan,tinggi,"Semua kalangan, camilan perjalanan",Camilan di bus/mobil,,True
OO-AUD-003,oleh-oleh tahan perjalanan jauh,PASS,,2,*UMMI* Snack Lembang,snack_keripik,66.93,62.0,84.41,,Jarak belum dihitung,"Aneka snack kemasan, keripik, sale pisang",Rp 15.000 - Rp 45.000,15000,45000,<50k,medium,1-3 bulan,tinggi,"Rombongan, camilan perjalanan",Nyemil di kendaraan,review_text_low;price_estimate_medium_confidence,True
