location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory,jam_buka,jam_tutup,estimasi_durasi_menit,tags_sintetis,deskripsi_google,jam_buka_weekday,jam_tutup_weekday,jam_buka_weekend,jam_tutup_weekend,sumber_deskripsi,sumber_jam,status_deskripsi,status_jam,catatan_jam
LOC-001,23 Paskal Shopping Center,-6.9153879,107.5943024,0,0,Gratis,Tempat Belanja,Mall,10:00,22:00,150,"Belanja, Indoor, Kuliner, Modern","Pusat perbelanjaan kontemporer bertingkat dengan retailer ternama, serta bioskop & pujasera.",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-002,Alam Wisata Cimahi,-6.8408401,107.5512452,0,0,Gratis,Rekreasi Keluarga,Kawasan rekreasi keluarga,08:00,18:00,180,"Keluarga, Anak-anak, Wahana, Seru","Destinasi eduwisata populer di Kota Cimahi yang memadukan rekreasi keluarga dengan edukasi pertanian, peternakan, kuliner, dan outbound.",08:00,17:00,08:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-003,Alun-Alun Kota Bandung,-6.92156,107.607105,0,0,Gratis,Taman Kota,Ruang publik kota,00:00,23:59,60,"Ruang Publik, Santai, Jalan-jalan",Alun-alun & tempat berkumpul dengan hamparan rumput sintetis serta pemandangan masjid agung dan kota.,00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-004,Alun-Alun Sumedang,-6.8601203,107.9207044,0,0,Gratis,Taman Kota,Ruang publik kota,00:00,23:59,60,"Ruang Publik, Santai, Jalan-jalan","Ruang terbuka publik di pusat kota Sumedang dengan Monumen Lingga yang ikonik, ramah anak, dan memiliki taman bermain serta area duduk santai.",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-005,Amazing Artgames,-6.8515827,107.5952858,35000,50000,Per Orang,Rekreasi Keluarga,Wahana foto interaktif,08:00,18:00,180,"Keluarga, Anak-anak, Wahana, Seru",Museum interaktif tempat pengunjung dapat berpose & berfoto dengan lanskap 3D yang imajinatif.,10:00,18:00,10:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-006,Bandung Carnival Land,-6.8783006,107.5951986,10000,10000,Per Orang,Rekreasi Keluarga,Taman hiburan,12:00,20:00,180,"Keluarga, Anak-anak, Wahana, Seru","Taman hiburan keluarga yang berlokasi dekat kolam renang Karang Setra Bandung, menawarkan berbagai wahana permainan terusan seperti Cinema 4D, Rumah Hantu, Sepeda Udara, dan Boom Boom Car.",11:00,22:00,11:00,23:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber."
LOC-007,Bandung Indah Plaza,-6.908338,107.6112548,0,0,Gratis,Tempat Belanja,Pusat belanja,10:00,22:00,150,"Belanja, Indoor, Kuliner, Modern","Pusat perbelanjaan ramai dengan department store, butik bertingkat & restoran kasual.",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-008,Bandung Science Center,-6.8773023,107.5947081,45000,45000,Per Orang,Tempat Belajar,Science center,08:00,16:00,90,"Wisata, Umum, Menarik","Pusat edukasi sains interaktif di Sukasari Bandung dengan beragam alat peraga astronomi, robotik, fisika, dan kimia, menempati gedung bersejarah yang pernah dikunjungi Bung Karno.",09:00,17:00,09:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-009,Bendungan Jatigede,-6.85639,108.09472,15000,20000,Per Orang,Wisata Alam,Bendungan,08:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar","Bendungan terbesar kedua di Indonesia yang membendung Sungai Cimanuk Sumedang, menawarkan keindahan waduk berlatar perbukitan yang populer untuk memancing, susur air dengan perahu, dan foto rekreasi.",08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-010,Braga Citywalk,-6.917113,107.6084023,0,0,Gratis,Tempat Belanja,Citywalk,10:00,22:00,150,"Belanja, Indoor, Kuliner, Modern","Kawasan mixed-use ikonik di pusat Kota Bandung yang menggabungkan pusat perbelanjaan, apartemen, dan hotel dengan gaya arsitektur Art Deco khas kolonial.",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
LOC-011,Bukit Jamur Rancabolang Pasirjambu,-7.194647,107.4322046,15000,15000,Per Orang,Wisata Alam,Daya tarik alam,08:00,17:00,120,"Alam, Outdoor, Pemandangan, Udara Segar",Tempat wisata simpel di atas bukit dengan pohon pinus mirip jamur & pemandangan kebun teh.,07:00,17:00,07:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.
