location_id,location_name,category,multi_labels,avg_sentimen_skor,total_ulasan,sentimen_label_lokasi,latitude,longitude,price_min,price_max,jam_buka,jam_tutup,estimasi_durasi_menit,deskripsi_google,price_type,subcategory,tags_sintetis,jam_buka_weekday,jam_tutup_weekday,jam_buka_weekend,jam_tutup_weekend,sumber_deskripsi,sumber_jam,status_deskripsi,status_jam,catatan_jam,avg_rating,ulasan_positif,ulasan_negatif,sentiment_score,sentiment_model_source,sentiment_model_version,sentiment_available
LOC-001,23 Paskal Shopping Center,Tempat Belanja,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Belanja']",0.48,200.0,Positif,-6.9153879,107.5943024,0,0,10:00,22:00,150,"Pusat perbelanjaan kontemporer bertingkat dengan retailer ternama, serta bioskop & pujasera.",Gratis,Mall,"Belanja, Indoor, Kuliner, Modern",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,3.89,142.0,46.0,0.48,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-002,Alam Wisata Cimahi,Rekreasi Keluarga,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner']",0.8380149812734082,1068.0,Sangat Positif,-6.8408401,107.5512452,0,0,08:00,18:00,180,"Destinasi eduwisata populer di Kota Cimahi yang memadukan rekreasi keluarga dengan edukasi pertanian, peternakan, kuliner, dan outbound.",Gratis,Kawasan rekreasi keluarga,"Keluarga, Anak-anak, Wahana, Seru",08:00,17:00,08:00,21:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",4.440074906367041,934.0,39.0,0.8380149812734082,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-003,Alun-Alun Kota Bandung,Taman Kota,"['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Belanja', 'Santai/Healing']",0.675,200.0,Sangat Positif,-6.92156,107.607105,0,0,00:00,23:59,60,Alun-alun & tempat berkumpul dengan hamparan rumput sintetis serta pemandangan masjid agung dan kota.,Gratis,Ruang publik kota,"Ruang Publik, Santai, Jalan-jalan",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.225,158.0,23.0,0.675,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-004,Alun-Alun Sumedang,Taman Kota,['Umum'],0.0,0.0,,-6.8601203,107.9207044,0,0,00:00,23:59,60,"Ruang terbuka publik di pusat kota Sumedang dengan Monumen Lingga yang ikonik, ramah anak, dan memiliki taman bermain serta area duduk santai.",Gratis,Ruang publik kota,"Ruang Publik, Santai, Jalan-jalan",00:00,23:59,00:00,23:59,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,,,,0.0,unavailable,,False
LOC-005,Amazing Artgames,Rekreasi Keluarga,"['Alam', 'Ramah Anak', 'Spot Foto', 'Edukasi', 'Kuliner', 'Belanja', 'Wahana Ekstrem']",0.93,200.0,Sangat Positif,-6.8515827,107.5952858,35000,50000,08:00,18:00,180,Museum interaktif tempat pengunjung dapat berpose & berfoto dengan lanskap 3D yang imajinatif.,Per Orang,Wahana foto interaktif,"Keluarga, Anak-anak, Wahana, Seru",10:00,18:00,10:00,18:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.625,190.0,4.0,0.93,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-006,Bandung Carnival Land,Rekreasi Keluarga,"['Ramah Anak', 'Kuliner']",0.5681818181818182,88.0,Positif,-6.8783006,107.5951986,10000,10000,12:00,20:00,180,"Taman hiburan keluarga yang berlokasi dekat kolam renang Karang Setra Bandung, menawarkan berbagai wahana permainan terusan seperti Cinema 4D, Rumah Hantu, Sepeda Udara, dan Boom Boom Car.",Per Orang,Taman hiburan,"Keluarga, Anak-anak, Wahana, Seru",11:00,22:00,11:00,23:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,verified,"Jadwal weekday dan weekend berbeda, keduanya terisi dari sumber.",4.170454545454546,63.0,13.0,0.5681818181818182,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-007,Bandung Indah Plaza,Tempat Belanja,"['Alam', 'Ramah Anak', 'Kuliner', 'Belanja']",0.775,200.0,Sangat Positif,-6.908338,107.6112548,0,0,10:00,22:00,150,"Pusat perbelanjaan ramai dengan department store, butik bertingkat & restoran kasual.",Gratis,Pusat belanja,"Belanja, Indoor, Kuliner, Modern",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.33,173.0,18.0,0.775,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-008,Bandung Science Center,Tempat Belajar,"['Ramah Anak', 'Edukasi']",0.5412844036697247,109.0,Positif,-6.8773023,107.5947081,45000,45000,08:00,16:00,90,"Pusat edukasi sains interaktif di Sukasari Bandung dengan beragam alat peraga astronomi, robotik, fisika, dan kimia, menempati gedung bersejarah yang pernah dikunjungi Bung Karno.",Per Orang,Science center,"Wisata, Umum, Menarik",09:00,17:00,09:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,3.8623853211009176,76.0,17.0,0.5412844036697247,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-009,Bendungan Jatigede,Wisata Alam,"['Alam', 'Spot Foto']",0.7,50.0,Sangat Positif,-6.85639,108.09472,15000,20000,08:00,17:00,120,"Bendungan terbesar kedua di Indonesia yang membendung Sungai Cimanuk Sumedang, menawarkan keindahan waduk berlatar perbukitan yang populer untuk memancing, susur air dengan perahu, dan foto rekreasi.",Per Orang,Bendungan,"Alam, Outdoor, Pemandangan, Udara Segar",08:00,17:00,08:00,17:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.26,42.0,7.0,0.7,tfidf_linearsvc,run_nlp_pipeline_v2,True
LOC-010,Braga Citywalk,Tempat Belanja,"['Alam', 'Spot Foto', 'Edukasi', 'Kuliner', 'Belanja', 'Santai/Healing', 'Wahana Ekstrem']",0.885,200.0,Sangat Positif,-6.917113,107.6084023,0,0,10:00,22:00,150,"Kawasan mixed-use ikonik di pusat Kota Bandung yang menggabungkan pusat perbelanjaan, apartemen, dan hotel dengan gaya arsitektur Art Deco khas kolonial.",Gratis,Citywalk,"Belanja, Indoor, Kuliner, Modern",10:00,22:00,10:00,22:00,internet_research_verified,internet_research_verified,filled_from_reliable_source,general_schedule_used_for_both,Jadwal umum digunakan untuk weekday dan weekend.,4.57,182.0,5.0,0.885,tfidf_linearsvc,run_nlp_pipeline_v2,True
