penginapan_id,name,property_type,latitude,longitude,overall_rating,reviews,p2_sentiment_policy_status,recommended_action,decision_reason,accepted_review_rows,accepted_review_text_rows,held_review_rows,held_status_summary,start_url
LODGE-00866,Aston Pasteur,hotel,-6.8936,107.5872,4.6,16164.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,14,0,,https://www.google.com/maps/search/?api=1&query=Aston%20Pasteur%20-6.8936%2C107.5872
LODGE-00906,GH Universal Hotel,hotel,-6.8506,107.5981,4.7,11824.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,25,0,,https://www.google.com/maps/search/?api=1&query=GH%20Universal%20Hotel%20-6.8506%2C107.5981
LODGE-00889,Clove Garden Hotel Bandung,hotel,-6.8727,107.6426,4.6,11739.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,29,0,,https://www.google.com/maps/search/?api=1&query=Clove%20Garden%20Hotel%20Bandung%20-6.8727%2C107.6426
LODGE-00913,Grand Hotel Preanger,hotel,-6.921,107.6119,4.5,7805.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,15,0,,https://www.google.com/maps/search/?api=1&query=Grand%20Hotel%20Preanger%20-6.921%2C107.6119
LODGE-00909,Golden Flower Hotel,hotel,-6.9204,107.6049,4.3,7134.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,17,0,,https://www.google.com/maps/search/?api=1&query=Golden%20Flower%20Hotel%20-6.9204%2C107.6049
LODGE-01610,Favehotel Hyper Square,hotel,-6.9162,107.5946,4.4,6458.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,9,0,,https://www.google.com/maps/search/?api=1&query=Favehotel%20Hyper%20Square%20-6.9162%2C107.5946
LODGE-00908,Gino Feruci Braga Hotel,hotel,-6.9178,107.6091,4.3,6214.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,26,0,,https://www.google.com/maps/search/?api=1&query=Gino%20Feruci%20Braga%20Hotel%20-6.9178%2C107.6091
LODGE-00973,POP! Hotel Festival Citylink Bandung,hotel,-6.9295,107.5862,4.3,5170.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=POP%21%20Hotel%20Festival%20Citylink%20Bandung%20-6.9295%2C107.5862
LODGE-00912,Grand Dafam Braga Bandung,hotel,-6.9168,107.609,4.8,4516.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,22,0,,https://www.google.com/maps/search/?api=1&query=Grand%20Dafam%20Braga%20Bandung%20-6.9168%2C107.609
LODGE-00915,Grand Pacific Hotel,hotel,-6.9088,107.5979,4.4,2978.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,90,held_foreign_result:90,https://www.google.com/maps/search/?api=1&query=Grand%20Pacific%20Hotel%20-6.9088%2C107.5979
LODGE-01086,Zodiak,hotel,-6.9123,107.5994,3.7,2708.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Zodiak%20-6.9123%2C107.5994
LODGE-00824,Grand Panorama Lembang,hotel,-6.8104,107.6249,4.2,2082.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,22,0,,https://www.google.com/maps/search/?api=1&query=Grand%20Panorama%20Lembang%20-6.8104%2C107.6249
LODGE-01087,Zodiak - Taurus,hotel,-6.9115,107.5982,4.0,1796.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Zodiak%20-%20Taurus%20-6.9115%2C107.5982
LODGE-00907,Geary Hotel,hotel,-6.9125,107.6033,4.5,1716.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,18,0,,https://www.google.com/maps/search/?api=1&query=Geary%20Hotel%20-6.9125%2C107.6033
LODGE-00884,Cherry Homes Hotel & Residence,hotel,-6.887,107.5843,4.2,1624.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,20,0,,https://www.google.com/maps/search/?api=1&query=Cherry%20Homes%20Hotel%20%26%20Residence%20-6.887%2C107.5843
LODGE-00950,Kollektiv,hotel,-6.878,107.5868,4.7,1486.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Kollektiv%20-6.878%2C107.5868
LODGE-01234,Chara Hotel,hotel,-6.9225,107.6197,4.0,1386.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,20,0,,https://www.google.com/maps/search/?api=1&query=Chara%20Hotel%20-6.9225%2C107.6197
LODGE-00937,Hotel Sabang,hotel,-6.9095,107.6239,4.4,744.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Hotel%20Sabang%20-6.9095%2C107.6239
LODGE-00774,Hotel Soreang,hotel,-7.014,107.5311,4.3,728.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Hotel%20Soreang%20-7.014%2C107.5311
LODGE-00886,Cihampelas Hotel 1 - Bandung,hotel,-6.889,107.6042,4.0,631.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,26,0,,https://www.google.com/maps/search/?api=1&query=Cihampelas%20Hotel%201%20-%20Bandung%20-6.889%2C107.6042
LODGE-01355,Feby Maisonatte by OYO Rooms,hotel,-6.8897,107.5826,3.115,421.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,60,held_name_mismatch:60,https://www.google.com/maps/search/?api=1&query=Feby%20Maisonatte%20by%20OYO%20Rooms%20-6.8897%2C107.5826
LODGE-01272,Hotel Victory,hotel,-6.9068,107.5958,4.1,386.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,210,held_foreign_result:210,https://www.google.com/maps/search/?api=1&query=Hotel%20Victory%20-6.9068%2C107.5958
LODGE-01013,RedDoorz near Telkom Corporate University,hotel,-6.8724,107.5903,2.9,385.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,17,0,,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Telkom%20Corporate%20University%20-6.8724%2C107.5903
LODGE-00897,Daun Residence,hotel,-6.8899,107.6136,4.5,382.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Daun%20Residence%20-6.8899%2C107.6136
LODGE-00085,Asthaloka,hotel,-6.8939,107.5735,4.9,364.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Asthaloka%20-6.8939%2C107.5735
LODGE-01289,Mypodroom,hotel,-6.9229,107.6093,4.7,362.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,26,0,,https://www.google.com/maps/search/?api=1&query=Mypodroom%20-6.9229%2C107.6093
LODGE-01267,Hotel Kurnia,hotel,-6.9284,107.6167,3.6,312.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Hotel%20Kurnia%20-6.9284%2C107.6167
LODGE-01094,youre.at - Ciumbuleuit 1,hotel,-6.8809,107.6049,4.9,301.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=youre.at%20-%20Ciumbuleuit%201%20-6.8809%2C107.6049
LODGE-01433,Cove Vaia - Coliving Bandung,hotel,-6.9366,107.6151,4.9,253.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,19,0,,https://www.google.com/maps/search/?api=1&query=Cove%20Vaia%20-%20Coliving%20Bandung%20-6.9366%2C107.6151
LODGE-00993,RedDoorz Plus near Surapati Core,hotel,-6.9017,107.652,3.1,236.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,60,needs_review_name_partial:60,https://www.google.com/maps/search/?api=1&query=RedDoorz%20Plus%20near%20Surapati%20Core%20-6.9017%2C107.652
LODGE-01000,RedDoorz near Exit Toll Pasteur 5,hotel,-6.8862,107.5841,3.3,233.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,60,needs_review_name_partial:60,https://www.google.com/maps/search/?api=1&query=RedDoorz%20near%20Exit%20Toll%20Pasteur%205%20-6.8862%2C107.5841
LODGE-01183,Sartika Hotel,hotel,-6.9302,107.626,3.6,222.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Sartika%20Hotel%20-6.9302%2C107.626
LODGE-00890,Collection O Kebon Jeruk Near Paskal 23 Formerly Sentral Paskal,hotel,-6.9154,107.5972,3.6,212.0,needs_exact_google_maps_url_retry,retry_only_with_exact_place_url,"prioritas tinggi, query nama terlalu rawan salah tempat",0,0,0,,https://www.google.com/maps/search/?api=1&query=Collection%20O%20Kebon%20Jeruk%20Near%20Paskal%2023%20Formerly%20Sentral%20Paskal%20-6.9154%2C107.5972
LODGE-00778,PURNAMA,hotel,-7.1069,107.4558,3.6,134.0,sentiment_unavailable,do_not_rescrape_now_use_rating_confidence_fallback,tidak ketemu aman dari scrape batch; jangan habiskan biaya scraping sekarang,0,0,0,,https://www.google.com/maps/search/?api=1&query=PURNAMA%20-7.1069%2C107.4558
LODGE-01359,Graha Asri Hotel,hotel,-6.8493,107.5978,3.4,115.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,13,0,,https://www.google.com/maps/search/?api=1&query=Graha%20Asri%20Hotel%20-6.8493%2C107.5978
LODGE-01556,Teratai,hotel,-6.8879,107.582,4.1,95.0,sentiment_unavailable,do_not_rescrape_now_use_rating_confidence_fallback,tidak ketemu aman dari scrape batch; jangan habiskan biaya scraping sekarang,0,0,0,,https://www.google.com/maps/search/?api=1&query=Teratai%20-6.8879%2C107.582
LODGE-00901,Elephant Eleven Residence Buah Batu Kota Bandung,hotel,-6.9334,107.6217,4.5,86.0,sentiment_unavailable,do_not_rescrape_now_use_rating_confidence_fallback,tidak ketemu aman dari scrape batch; jangan habiskan biaya scraping sekarang,0,0,0,,https://www.google.com/maps/search/?api=1&query=Elephant%20Eleven%20Residence%20Buah%20Batu%20Kota%20Bandung%20-6.9334%2C107.6217
LODGE-00392,C Family Hotel,hotel,-6.877606,107.548351,4.8,77.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,15,60,held_foreign_result:60,https://www.google.com/maps/search/?api=1&query=C%20Family%20Hotel%20-6.877606%2C107.548351
LODGE-01576,MOONSTONE,hotel,-6.8875,107.5837,4.5,70.0,sentiment_unavailable,do_not_rescrape_now_use_rating_confidence_fallback,tidak ketemu aman dari scrape batch; jangan habiskan biaya scraping sekarang,0,0,0,,https://www.google.com/maps/search/?api=1&query=MOONSTONE%20-6.8875%2C107.5837
LODGE-00770,Ciwidey Jungle Camp,hotel,-7.126,107.5147,4.4,64.0,sentiment_unavailable,do_not_rescrape_now_use_rating_confidence_fallback,tidak ketemu aman dari scrape batch; jangan habiskan biaya scraping sekarang,0,0,0,,https://www.google.com/maps/search/?api=1&query=Ciwidey%20Jungle%20Camp%20-7.126%2C107.5147
LODGE-00139,The Cluster Harris,hotel,-6.8948241,107.5397126,4.5,57.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,17,0,,https://www.google.com/maps/search/?api=1&query=The%20Cluster%20Harris%20-6.8948241%2C107.5397126
LODGE-00888,Ciparay Residence,hotel,-6.9592,107.6424,4.275,43.0,sentiment_unavailable,do_not_rescrape_now_use_rating_confidence_fallback,tidak ketemu aman dari scrape batch; jangan habiskan biaya scraping sekarang,0,0,0,,https://www.google.com/maps/search/?api=1&query=Ciparay%20Residence%20-6.9592%2C107.6424
LODGE-00956,Manta Living Bandung RedPartner,hotel,-6.864,107.5878,4.9,43.0,sentiment_unavailable,do_not_rescrape_now_use_rating_confidence_fallback,tidak ketemu aman dari scrape batch; jangan habiskan biaya scraping sekarang,0,0,0,,https://www.google.com/maps/search/?api=1&query=Manta%20Living%20Bandung%20RedPartner%20-6.864%2C107.5878
LODGE-01442,Dancenter Promenade Near Cihampelas Walk,hotel,-6.8969,107.6036,2.2,41.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,30,23,0,,https://www.google.com/maps/search/?api=1&query=Dancenter%20Promenade%20Near%20Cihampelas%20Walk%20-6.8969%2C107.6036
LODGE-00079,Zona Bobo | Muslim Friendly | by Belgareti,hotel,-6.8631,107.504,4.9,27.0,sentiment_unavailable,do_not_rescrape_now_use_rating_confidence_fallback,tidak ketemu aman dari scrape batch; jangan habiskan biaya scraping sekarang,0,0,0,,https://www.google.com/maps/search/?api=1&query=Zona%20Bobo%20%7C%20Muslim%20Friendly%20%7C%20by%20Belgareti%20-6.8631%2C107.504
LODGE-01159,Oslandmark Residence,hotel,-6.9127,107.5925,4.6,8.0,sentiment_unavailable,do_not_rescrape_now_use_rating_confidence_fallback,tidak ketemu aman dari scrape batch; jangan habiskan biaya scraping sekarang,0,0,0,,https://www.google.com/maps/search/?api=1&query=Oslandmark%20Residence%20-6.9127%2C107.5925
LODGE-01047,TechieRoom Swift at Clove Garden Residence,hotel,-6.8729,107.6404,4.2,8.0,sentiment_unavailable,do_not_rescrape_now_use_rating_confidence_fallback,tidak ketemu aman dari scrape batch; jangan habiskan biaya scraping sekarang,0,0,60,held_foreign_result:30; needs_review_name_partial:30,https://www.google.com/maps/search/?api=1&query=TechieRoom%20Swift%20at%20Clove%20Garden%20Residence%20-6.8729%2C107.6404
LODGE-00435,Bobo inn Baros,hotel,-6.8986029,107.5368741,4.0,1.0,accepted_review_available,use_for_sentiment_inference,sudah punya review aman hasil audit scrape,1,0,30,held_name_mismatch:30,https://www.google.com/maps/search/?api=1&query=Bobo%20inn%20Baros%20-6.8986029%2C107.5368741
