severity,code,field,penginapan_id,name,message,recommended_action
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00022,OYO 3394 Apm Residence Syariah - Deluxe Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00065,Hotel O Cibeureum Residence - Deluxe Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00087,Budi House Food Station - Deluxe Twin Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00088,Budi House Food Station - Standard Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00120,Sans Stay Skyland Pasteur Bandung - Deluxe Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00121,Sans Stay Skyland Pasteur Bandung - Standard Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00150,Budi House Food Station - Superior Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00206,OYO 2088 Grha Blue Sky Syariah - Standard Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00239,Little Blue House - Queen Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00257,ZEN Rooms Cibogo Pasteur,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00471,RedDoorz Resort near Darajat Garut - Standard Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00488,Penginapan Barkah - Family Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00489,Penginapan Barkah - Family Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00490,Penginapan Barkah - Standard Family Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00510,Pondok Stevia Ciwidey - Deluxe Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00546,Vila Kopi Ciwidey - Family Room with Garden View,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00560,Cigadog Residence Mitra Reddoorz - Standard Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00573,OYO 3951 Hotel Tw Rancagoong - Delxue Twin Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00575,Pondok Stevia Ciwidey - Deluxe Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00576,RedDoorz Syariah near Tugu Lampu Gentur Cianjur - Deluxe Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00596,Vila Kopi Ciwidey - Family Room with Garden View,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00597,Vila Kopi Ciwidey - King Room with Garden View,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00614,"Argapuri Jungle Resort - Standard Room, 1 Bedroom, Terrace, Mountain View","Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00731,Vedca Asrama Cianjur RedPartner - Economy Twin Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00732,Vedca Cottage Cianjur - Family Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00764,family room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00775,Kampung Panorama - Family Room with Lake View,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00798,Penginapan atau Kontrakan Rumah Ciwidey 1 Ruangan 2 Kasur Dewasa Kamar Mandi Dapur Dalam Sewa Harian Mingguan Bulanan Tahunan Boleh - Double Room with Private Bathroom,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00829,RedDoorz Resort Syariah @ Batu Apung Purwakarta - Family Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00831,RedDoorz Resort Syariah @ Jaya Tirta Abadi - Standard Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00873,Bantal Guling Trans - Standard Double Room with Fan,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00874,Bantal Guling Trans - Standard Family Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00875,Bantal Guling Trans - Superior Family Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00903,Family Room Gezonder Antapani - Family Room with Balcony,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00953,Little Mykonos - Deluxe Queen Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00971,Over Easy Glamping Site - Family Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00972,Over Easy Glamping Site - Queen Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-00998,RedDoorz Syariah near BTC Fashion Mall - Standard Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01012,RedDoorz near Taman Makam Pahlawan Cikutra - Deluxe Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01113,Bantal Guling Trans - Family Triple Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01121,Cove Horizone - Deluxe Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01147,Little Mykonos - Queen Room with Balcony,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01148,Little Mykonos - Standard Queen Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01161,Over Easy Glamping Site - Family Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01174,RedDoorz Plus near Asia Afrika 3 - Deluxe Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01210,bumimakhraja syariah 4 - Deluxe Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01502,Urbanview Darmo Residence Bandung - Deluxe Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01509,ZEN Rooms Talaga Bodas,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01544,Penginapan Rio Anakku Syariah Banjaran Mitra RedDoorz - Standard Twin Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01578,OYO 90025 Pondok Pesona Lembang - Deluxe Double Room,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01592,ZEN Rooms Aria Jipang,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
MANUAL_REVIEW,ROOM_LEVEL_LISTING,property_type,LODGE-01593,ZEN Rooms Lengkong Gatot Subroto,"Baris adalah room-level listing, bukan properti utama.",Jangan hapus otomatis; turunkan prioritas ranking atau gabungkan ke properti utama jika jelas.
