location_name,category,subcategory,deskripsi_google,tags_sintetis,multi_labels,primary_intent,core_labels,secondary_labels,avoid_labels,label_confidence,review_reason,label_reason,manual_primary_intent,manual_core_labels,manual_secondary_labels,manual_avoid_labels,review_status,manual_review_confidence,curation_action,display_status,is_active_verified,decision_note
Ciwidey Valley Resort,Penginapan Wisata,Resort wisata,"Kamar dan cottage simpel di resor kelas atas yang menawarkan taman rekreasi air, restoran, dan spa.","Wisata, Umum, Menarik","['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner']",Santai/Healing,Santai/Healing,Malam,Belanja,0.369,confidence < 0.65,Santai/Healing: category=Penginapan Wisata (+2.5) | description keyword: taman (+0.75) || Malam: opening hours support night visit (+1.5),Keluarga,Keluarga;Ramah Anak;Santai/Healing,Alam;Kuliner;Outdoor,Belanja;Sejarah;Religi,reviewed_keep,0.86,keep,active_candidate,True,"Resort punya waterpark air panas, fasilitas keluarga, penginapan, restoran, dan spa. Kuliner ada tetapi bukan primary."
Gantolle Paralayang Singajaya Cihampelas,Wisata Petualangan,Aktivitas petualangan,"Gantole dan Paralayang Singajaya merupakan area wisata alam ketinggian di perbukitan Singajaya, Cihampelas yang menjadi lokasi olahraga paralayang dengan panorama Waduk Saguling.","Wisata, Umum, Menarik","['Alam', 'Spot Foto', 'Kuliner']",Petualangan,Petualangan;Alam;Outdoor,Spot Foto;Malam,Belanja,0.609,confidence < 0.65,"Petualangan: category=Wisata Petualangan (+4.5) | subcategory keyword: petualangan (+1.2) || Alam: category=Wisata Petualangan (+3) | description keyword: alam, panorama (+1.5) | old multi_labels=Alam (+1) || Outdoor: category=Wisata Petualangan (+2.5) | description keyword: alam (+0.75) || Spot Foto: description keyword: panorama (+0.75) | old multi_labels=Spot Foto (+1) || Malam: opening hours support night visit (+1.5)",Petualangan,Petualangan;Alam;Outdoor,Spot Foto,Malam;Belanja;Kuliner;Ramah Anak,reviewed_keep,0.82,keep,active_candidate,True,Primary harus Petualangan karena daya tarik utama paralayang/adrenalin. Malam dihapus karena tidak ada bukti sebagai wisata malam.
Happyfarm Ciwidey,Wisata Satwa,Wisata farm,"Happy Farm Ciwidey adalah destinasi wisata keluarga bertema peternakan edukatif di Ciwidey, menampilkan kebun binatang mini kelinci dan domba, wahana berkuda, serta Candy House yang ceria.","Wisata, Umum, Menarik","['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Belanja', 'Santai/Healing']",Keluarga,Keluarga;Ramah Anak;Edukasi,Outdoor,Belanja,0.565,confidence < 0.65,"Keluarga: category=Wisata Satwa (+3.5) | description keyword: keluarga, wahana (+1.5) || Ramah Anak: category=Wisata Satwa (+3) | description keyword: peternakan (+0.75) | old multi_labels=Ramah Anak (+1) || Edukasi: category=Wisata Satwa (+3) | description keyword: edukatif, peternakan (+1.5) || Outdoor: category=Wisata Satwa (+1.5) | description keyword: kebun (+0.75)",Keluarga,Keluarga;Ramah Anak;Edukasi,Outdoor;Spot Foto,Belanja;Malam;Sejarah,needs_reverification,0.68,needs_review,status_uncertain,False,"Label cocok jika tempat masih aktif, tetapi ada sumber listing yang menandai permanently closed. Status aktif harus diverifikasi ulang sebelum ditampilkan."
Kebun Binatang Bandung,Wisata Satwa,Wisata satwa,Kebun Binatang Bandung merupakan taman margasatwa seluas 14 hektar di Tamansari yang mengoleksi lebih dari 800 satwa dan berfungsi sebagai kawasan konservasi edukatif di tengah Kota Bandung.,"Wisata, Umum, Menarik","['Alam', 'Ramah Anak', 'Spot Foto', 'Edukasi', 'Kuliner', 'Belanja', 'Santai/Healing', 'Wahana Ekstrem']",Edukasi,Edukasi;Ramah Anak;Keluarga,Santai/Healing;Outdoor,Belanja,0.589,confidence < 0.65; Ramah Anak lacks explicit evidence,"Edukasi: category=Wisata Satwa (+3) | description keyword: edukatif (+0.75) | old multi_labels=Edukasi (+1) || Ramah Anak: category=Wisata Satwa (+3) | old multi_labels=Ramah Anak (+1) || Keluarga: category=Wisata Satwa (+3.5) || Santai/Healing: description keyword: taman (+0.75) | old multi_labels=Santai/Healing (+1) || Outdoor: category=Wisata Satwa (+1.5) | description keyword: taman, kebun (+1.5) | name keyword: kebun (+0.6)",Edukasi,Edukasi;Keluarga,Ramah Anak;Outdoor,Belanja;Kuliner;Malam,temporarily_hidden,0.55,hide_temporarily,temporarily_hidden,False,"Secara konsep edukasi satwa dan keluarga, tetapi pada 2026 ada isu penutupan/segel dan transisi pengelola. Jangan tampilkan sampai status operasional jelas."
Lembang Park & Zoo,Wisata Satwa,Wisata satwa,"Kebun binatang kecil dengan harimau, reptil & kandang burung eksotis, plus taman hiburan & naik kuda poni.","Wisata, Umum, Menarik","['Ramah Anak', 'Kuliner', 'Wahana Ekstrem']",Ramah Anak,Ramah Anak;Keluarga;Edukasi,Outdoor,Belanja,0.517,confidence < 0.65; Ramah Anak lacks explicit evidence,"Ramah Anak: category=Wisata Satwa (+3) | old multi_labels=Ramah Anak (+1) || Keluarga: category=Wisata Satwa (+3.5) || Edukasi: category=Wisata Satwa (+3) || Outdoor: category=Wisata Satwa (+1.5) | description keyword: taman, kebun (+1.5)",Keluarga,Keluarga;Edukasi;Ramah Anak,Outdoor;Spot Foto,Belanja;Malam,reviewed_keep,0.88,keep,active_candidate,True,"Primary lebih tepat Keluarga. Tempat memadukan zoo, eduwisata, interaksi satwa, dan wahana anak/keluarga."
Taman Alun-Alun Kota Cimahi,Taman Kota,Ruang publik kota,"Taman kota yang rindang di dekat Masjid Agung, dengan taman bermain, kedai makanan, dan acara akhir pekan.","Ruang Publik, Santai, Jalan-jalan","['Alam', 'Ramah Anak', 'Kuliner']",Santai/Healing,Santai/Healing;Ramah Anak;Outdoor,Keluarga;Gratis;Malam,Belanja;Petualangan;Sejarah,1.0,Ramah Anak lacks explicit evidence,"Santai/Healing: category=Taman Kota (+3.5) | subcategory keyword: ruang publik (+1.2) | tags keyword: santai, ruang publik (+2.1) || Ramah Anak: category=Taman Kota (+1.5) | description keyword: taman bermain (+0.75) | old multi_labels=Ramah Anak (+1) || Outdoor: category=Taman Kota (+2) | description keyword: taman (+0.75) | name keyword: taman (+0.6) || Keluarga: category=Taman Kota (+2.5) || Gratis: price_type/price_max indicates free (+3) || Malam: opening hours support night visit (+1.5)",Santai/Healing,Santai/Healing;Keluarga;Ramah Anak,Outdoor;Gratis;Malam,Belanja;Petualangan;Sejarah,reviewed_keep,0.84,keep,active_candidate,True,"Ramah Anak valid sebagai core karena ada playground/area bermain anak, dengan catatan pendampingan orang tua."
Rumah Guguk,Wisata Satwa,Wisata hewan peliharaan,Destinasi rekreasi unik dan ramah anak di Bandung yang menjadi surga para pencinta anjing untuk berinteraksi dengan puluhan ras anjing lucu.,"Wisata, Umum, Menarik","['Alam', 'Spot Foto', 'Kuliner', 'Belanja']",Ramah Anak,Ramah Anak;Keluarga;Edukasi,Outdoor,Belanja,0.53,confidence < 0.65,"Ramah Anak: category=Wisata Satwa (+3) | description keyword: ramah anak, anak (+1.5) || Keluarga: category=Wisata Satwa (+3.5) | description keyword: anak (+0.75) || Edukasi: category=Wisata Satwa (+3) || Outdoor: category=Wisata Satwa (+1.5)",Keluarga,Keluarga;Ramah Anak;Edukasi,Spot Foto;Outdoor,Belanja;Malam;Sejarah,reviewed_keep,0.83,keep,active_candidate,True,"Primary lebih tepat Keluarga. Edukasi boleh core karena ada interaksi dengan anjing dan hewan lain, konteksnya rekreasi satwa/pet playground."
Cikole Jayagiri Resort,Penginapan Wisata,Resort wisata,"Cikole Jayagiri Resort adalah resor wisata alam di hutan pinus Lembang yang menawarkan penginapan kabin kayu, area camping, interaksi dengan rusa, serta beragam wahana outbound.","Wisata, Umum, Menarik","['Alam', 'Ramah Anak', 'Wahana Ekstrem']",Alam,Alam,Petualangan;Santai/Healing;Keluarga,Belanja;Kuliner,0.514,confidence < 0.65,"Alam: description keyword: alam, hutan, camping (+2.25) | old multi_labels=Alam (+1) | lodging attraction with explicit nature evidence (+1.5) || Petualangan: description keyword: outbound, camping (+1.5) | old multi_labels=Wahana Ekstrem (+1) || Santai/Healing: category=Penginapan Wisata (+2.5) || Keluarga: category=Penginapan Wisata (+1) | description keyword: wahana (+0.75)",Alam,Alam;Petualangan;Santai/Healing,Keluarga;Outdoor,Belanja;Kuliner;Malam,reviewed_keep,0.82,keep,active_candidate,True,"Core tidak hanya Alam. Ada hutan pinus, resort/camping, outbound, highrope, ATV, paintball, dan gathering."
Bird & Bromelia Pavilion,Wisata Satwa,Taman burung,Bird & Bromelia Pavilion di Pramestha Resort Town Lembang adalah taman burung edukatif yang memelihara sekitar 600 ekor burung dari berbagai spesies serta koleksi tanaman bromelia hias.,"Wisata, Umum, Menarik","['Alam', 'Ramah Anak', 'Spot Foto', 'Kuliner', 'Santai/Healing']",Ramah Anak,Ramah Anak;Edukasi;Keluarga,Santai/Healing;Outdoor,Belanja,0.496,confidence < 0.65; Ramah Anak lacks explicit evidence,Ramah Anak: category=Wisata Satwa (+3) | old multi_labels=Ramah Anak (+1) || Edukasi: category=Wisata Satwa (+3) | description keyword: edukatif (+0.75) || Keluarga: category=Wisata Satwa (+3.5) || Santai/Healing: subcategory keyword: taman (+1.2) | description keyword: taman (+0.75) | old multi_labels=Santai/Healing (+1) || Outdoor: category=Wisata Satwa (+1.5) | subcategory keyword: taman (+1.2) | description keyword: taman (+0.75),Edukasi,Edukasi;Keluarga;Ramah Anak,Outdoor;Spot Foto;Santai/Healing,Belanja;Malam;Kuliner,reviewed_keep,0.86,keep,active_candidate,True,Primary paling tepat Edukasi. Daya tarik utama taman burung edukatif dan interaksi dengan ratusan burung.
Rengganis Suspension Bridge,Wisata Petualangan,Jembatan gantung,Jembatan gantung spektakuler sepanjang 370 meter di Ciwidey yang menghubungkan area parkir ke destinasi pemandian air panas alami Kawah Rengganis.,"Wisata, Umum, Menarik","['Alam', 'Ramah Anak', 'Spot Foto', 'Wahana Ekstrem']",Alam,Alam;Petualangan,Outdoor,Belanja;Kuliner,0.578,confidence < 0.65,"Alam: category=Wisata Petualangan (+3) | description keyword: pemandian air panas, kawah (+1.5) | old multi_labels=Alam (+1) || Petualangan: category=Wisata Petualangan (+4.5) | old multi_labels=Wahana Ekstrem (+1) || Outdoor: category=Wisata Petualangan (+2.5)",Petualangan,Petualangan;Alam;Outdoor,Spot Foto;Santai/Healing,Belanja;Kuliner;Ramah Anak,reviewed_keep,0.87,keep,active_candidate,True,Primary sebaiknya Petualangan karena jembatan gantung memberi sensasi adrenalin. Alam kuat sebagai core kedua.
