location_id,location_name,latitude,longitude,price_min,price_max,price_type,category,subcategory
LOC-001,23 Paskal Shopping Center,,,0,0,,Tempat Belanja,Mall
LOC-002,Alam Wisata Cimahi,,,0,0,,Rekreasi Keluarga,Kawasan rekreasi keluarga
LOC-003,Alun-Alun Kota Bandung,,,0,0,,Taman Kota,Ruang publik kota
LOC-004,Alun-Alun Sumedang,,,0,0,,Taman Kota,Ruang publik kota
LOC-005,Amazing Artgames,,,35000,90000,,Rekreasi Keluarga,Wahana foto interaktif
LOC-006,Bandung Carnival Land,,,35000,45000,,Rekreasi Keluarga,Taman hiburan
LOC-007,Bandung Indah Plaza,,,0,0,,Tempat Belanja,Pusat belanja
LOC-008,Bandung Science Center,,,45000,45000,,Tempat Belajar,Science center
LOC-009,Bendungan Jatigede,,,10000,10000,,Wisata Alam,Bendungan
LOC-010,Braga Citywalk,,,0,0,,Tempat Belanja,Citywalk
LOC-011,Bukit Jamur Rancabolang Pasirjambu,,,20000,20000,,Wisata Alam,Daya tarik alam
LOC-012,Bukit Moko Bandung,,,15000,30000,,Wisata Alam,Daya tarik alam
LOC-013,Bukit Senyum,,,10000,10000,,Wisata Alam,Daya tarik alam
LOC-014,Bumi Perkemahan Ranca Upas Bandung,,,28000,44000,,Tempat Camping,Camping ground
LOC-015,Cadas Pangeran Sumedang,,,0,0,,Tempat Sejarah,Situs sejarah
LOC-016,Chinatown Bandung,,,10000,30000,,Tempat Budaya,Kawasan budaya tematik
LOC-017,Cihampelas Walk,,,0,0,,Tempat Belanja,Mall
LOC-018,Cimahi Mall,,,0,0,,Tempat Belanja,Pusat belanja
LOC-019,Cimahi Techno Park,,,30000,30000,,Tempat Belajar,Pusat edukasi teknologi
LOC-020,Ciwidey Valley Resort,,,70000,70000,,Penginapan Wisata,Resort wisata
LOC-021,Curug Cipanas,,,30000,35000,,Wisata Alam,Daya tarik alam
LOC-022,Curug Gorobog,,,10000,10000,,Wisata Alam,Daya tarik alam
LOC-023,Curug Malela,,,10000,12000,,Wisata Alam,Daya tarik alam
LOC-024,Curug Maribaya,,,35000,45000,,Wisata Alam,Daya tarik alam
LOC-025,Curug Pelangi,,,20000,20000,,Wisata Alam,Daya tarik alam
LOC-026,Curug Tilu Leuwi Opat,,,25000,25000,,Wisata Alam,Daya tarik alam
LOC-027,Dago Dreampark,,,30000,35000,,Rekreasi Keluarga,Taman rekreasi tematik
LOC-028,Danau Biru Situ Cilembang,,,10000,10000,,Wisata Alam,Daya tarik alam
LOC-029,Dusun Bambu,,,25000,40000,,Rekreasi Keluarga,Kawasan rekreasi keluarga
LOC-030,Farm House Susu Lembang,,,35000,35000,,Rekreasi Keluarga,Taman rekreasi tematik
LOC-031,Floating Market Lembang,,,35000,35000,,Rekreasi Keluarga,Taman rekreasi tematik
LOC-032,Gantolle Paralayang Singajaya Cihampelas,,,15000,15000,,Wisata Petualangan,Aktivitas petualangan
LOC-033,Gedung Merdeka,,,0,0,,Tempat Sejarah,Gedung bersejarah
LOC-034,Gedung Sate,,,5000,5000,,Tempat Sejarah,Gedung bersejarah
LOC-035,"Gereja Katedral Bandung, Santo Petrus",,,0,0,,Tempat Ibadah,Gereja
LOC-036,Glamping Lakeside Rancabali,,,25000,50000,,Tempat Camping,Glamping
LOC-037,Gn. Tampomas,,,5000,5000,,Rekreasi Keluarga,Kawasan rekreasi
LOC-038,Gn. Tangkuban Parahu,,,110000,110000,,Rekreasi Keluarga,Kawasan rekreasi
LOC-039,Guha Pawon,,,5000,5000,,Wisata Alam,Gua
LOC-040,Gunung Bohong,,,5000,5000,,Wisata Alam,Daya tarik alam
LOC-041,Gunung Puntang,,,25000,35000,,Wisata Alam,Daya tarik alam
LOC-042,Gunung Putri Lembang,,,10000,25000,,Wisata Alam,Daya tarik alam
LOC-043,Happyfarm Ciwidey,,,10000,20000,,Wisata Satwa,Wisata farm
LOC-044,Jans Park (Jatinangor National Park),,,30000,100000,,Rekreasi Keluarga,Taman rekreasi tematik
LOC-045,Jendela Alam,,,20000,20000,,Tempat Belajar,Edukasi alam
LOC-046,Kampung Buyut Cipageran (Kabuci) Asih Putera,,,10000,10000,,Desa Wisata,Kampung wisata
LOC-047,Kampung Cireundeu,,,0,0,,Desa Wisata,Kampung adat
LOC-048,Kampung Karuhun Eco Green Park Sumedang,,,15000,30000,,Rekreasi Keluarga,Eco park
LOC-049,Kampung Toga Villa & Resto,,,10000,10000,,Tempat Kuliner,Restoran wisata
LOC-050,Kawah Putih,,,31000,31000,,Wisata Alam,Daya tarik alam
LOC-051,Kebun Begonia Lembang,,,30000,30000,,Wisata Alam,Taman bunga
LOC-052,Kebun Binatang Bandung,,,50000,50000,,Wisata Satwa,Wisata satwa
LOC-053,Lembang Park & Zoo,,,65000,85000,,Wisata Satwa,Wisata satwa
LOC-054,Lembang Wonderland,,,35000,35000,,Rekreasi Keluarga,Taman rekreasi tematik
LOC-055,Maribaya Natural Hotspring Resort,,,45000,45000,,Wisata Alam,Air panas alami
LOC-056,Masjid Agung Bandung,,,0,0,,Tempat Ibadah,Tempat ibadah
LOC-057,Masjid Agung Sumedang,,,0,0,,Tempat Ibadah,Tempat ibadah
LOC-058,Masjid Jami' Al Baakhirah,,,0,0,,Tempat Ibadah,Tempat ibadah
LOC-059,Mata Air Cikandung,,,5000,5000,,Wisata Alam,Daya tarik alam
LOC-060,Museum Geologi Bandung,,,5000,5000,,Tempat Belajar,Tempat edukasi
LOC-061,Museum Konferensi Asia Afrika,,,0,0,,Tempat Belajar,Tempat edukasi
LOC-062,Museum Pos Indonesia,,,0,0,,Tempat Belajar,Tempat edukasi
LOC-063,Museum Sri Baduga,,,5000,5000,,Tempat Belajar,Tempat edukasi
LOC-064,Nimo Highland,,,30000,60000,,Rekreasi Keluarga,Wisata panorama buatan
LOC-065,Orchid Forest Cikole,,,40000,40000,,Wisata Alam,Hutan wisata
LOC-066,Pandiga Educreation Sports,,,30000,35000,,Rekreasi Keluarga,Olahraga rekreasi
