taxonomy_id,subtype,subtype_label,parent_group,description,include_keywords,exclude_keywords,recommended_for,mvp_priority,default_travel_friendly,default_gift_fit,default_food_related,scoring_notes
OO-TAX-001,brownies,Brownies,food_bakery,Toko atau brand brownies khas Bandung,"brownies;bronis;kukus;panggang","cafe umum;dessert dine-in saja","keluarga;teman;kantor",high,high,high,true,"Kuat untuk oleh-oleh makanan; cek cabang dan brand resmi."
OO-TAX-002,bolu_cake,Bolu dan cake,food_bakery,Bolu susu cake lapis atau kue basah yang umum dijadikan oleh-oleh,"bolu;cake;lapis;kue;susu","bakery umum tanpa produk khas","keluarga;anak;kantor",high,medium,high,true,"Perhatikan daya tahan produk karena sebagian mudah rusak."
OO-TAX-003,pastry_roti,Pastry dan roti,food_bakery,Roti pastry atau bakery lokal yang sering dibawa pulang,"roti;pastry;bakery;bakpia","cafe sarapan saja;restoran umum","keluarga;teman",medium,medium,medium,true,"Masuk MVP jika jelas dikenal sebagai oleh-oleh atau punya produk kemasan."
OO-TAX-004,snack_kering,Snack kering,food_snack,Cemilan kering yang mudah dibawa perjalanan,"keripik;chips;snack;kering;sale;opak;seblak kering","makanan basah siap makan","rombongan;keluarga;kantor",high,high,high,true,"Sangat cocok untuk perjalanan jauh dan pembelian banyak."
OO-TAX-005,tahu_susu,Tahu susu dan olahan tahu,food_fresh,Tahu susu atau olahan tahu yang populer sebagai oleh-oleh,"tahu susu;tahu;tahu lembang","warung makan tahu biasa","keluarga;rombongan",high,medium,high,true,"Perlu label travel_friendly lebih hati-hati karena produk bisa fresh."
OO-TAX-006,batagor_siomay,Batagor dan siomay,food_ready_to_eat,Batagor siomay atau makanan khas yang bisa dibawa pulang,"batagor;siomay;baso tahu;bumbu kacang","restoran seafood;bakso umum","keluarga;teman",high,medium,high,true,"Cocok untuk oleh-oleh jika tersedia frozen atau kemasan."
OO-TAX-007,dairy_fresh,Susu yoghurt dan dairy,food_fresh,Produk susu yoghurt es krim atau olahan dairy lokal,"susu;yoghurt;yogurt;dairy;keju","minimarket umum","anak;keluarga",medium,low,medium,true,"Butuh cek daya tahan dan penyimpanan dingin."
OO-TAX-008,coffee_tea,Kopi dan teh,food_beverage,Kopi teh atau minuman kemasan khas lokal,"kopi;coffee;teh;tea;roastery","coffee shop tanpa produk kemasan","teman;kantor;pasangan",medium,high,medium,true,"Bagus untuk gift dewasa; cek produk kemasan."
OO-TAX-009,sambal_bumbu,Sambal dan bumbu kemasan,food_packaged,Sambal bumbu saus atau makanan kemasan tahan perjalanan,"sambal;bumbu;saus;abon;dendeng","rumah makan tanpa produk kemasan","keluarga;kantor",medium,high,medium,true,"Perlu cek legalitas/kemasan jika masuk rekomendasi kuat."
OO-TAX-010,pusat_oleh_oleh,Pusat oleh-oleh multi produk,multi_category,Toko pusat oleh-oleh yang menjual banyak kategori produk,"pusat oleh-oleh;oleh oleh;gift shop;toko oleh-oleh","mall umum;minimarket;supermarket umum","keluarga;rombongan;wisatawan umum",high,high,high,true,"Bisa jadi fallback utama jika user belum tahu mau beli apa."
OO-TAX-011,souvenir_merch,Souvenir dan merchandise,non_food_souvenir,Kaos gantungan kunci magnet tas atau merchandise khas Bandung,"souvenir;kaos;merchandise;magnet;gantungan kunci","fashion mall umum tanpa identitas lokal","teman;anak;rombongan",medium,high,high,false,"Perlu pisah dari fashion umum supaya query oleh-oleh tidak kacau."
OO-TAX-012,craft_art,Kerajinan dan craft,non_food_craft,Produk kerajinan seni lokal atau handmade,"kerajinan;craft;handmade;batik;wayang;angklung","galeri tanpa toko;museum murni","keluarga;kolektor;wisata budaya",medium,medium,high,false,"Bagus untuk rekomendasi budaya, tapi perlu source yang jelas."
OO-TAX-013,fashion_factory_outlet,Fashion dan factory outlet,non_food_fashion,Produk fashion khas belanja Bandung atau factory outlet,"factory outlet;outlet;fashion;distro;baju;sepatu","mall umum;department store umum","teman;pasangan;keluarga",medium,medium,medium,false,"Masuk sebagai belanja pendukung, bukan oleh-oleh makanan."
OO-TAX-014,local_market,Pasar lokal dan sentra belanja,supporting_market,Pasar atau sentra yang bisa jadi tempat beli oleh-oleh tetapi tidak selalu toko khusus,"pasar;sentra;market;terminal wisata","pasar harian umum tanpa produk wisata","rombongan;wisatawan hemat",low,medium,medium,false,"Gunakan hati-hati; perlu subtype produk lebih spesifik."
