query_id,query,expected,rank,match_expected,name,category,labels,price,rating,sentiment_used_for_ranking,distance_km,final_score,mall_penalty,reason_short
WQ01,curug murah Bandung,curug/air terjun murah,1,True,Curug Ceret Pangalengan,Wisata Alam,Alam; Spot Foto; Outdoor; Santai/Healing; Gratis; Kuliner,Gratis,4.85,0.8909,,70.1,1.0,Destinasi 'Curug Ceret Pangalengan' sangat cocok dengan keinginan Anda mencari 'curug murah Bandung' (relevansi deskripsi 37.7%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 89.1%. Destinasi ini terpercaya dengan rating Google 4.85/5.0 dar
WQ01,curug murah Bandung,curug/air terjun murah,2,True,Curug Aseupan,Wisata Alam,Alam; Spot Foto; Santai/Healing; Outdoor; Ramah Anak; Kuliner,Rp 10.000 - Rp 15.000 (Per Orang),4.76,0.8944,,69.55,1.0,Destinasi 'Curug Aseupan' sangat cocok dengan keinginan Anda mencari 'curug murah Bandung' (relevansi deskripsi 32.0%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 89.4%. Destinasi ini terpercaya dengan rating Google 4.76/5.0 dari total 15
WQ01,curug murah Bandung,curug/air terjun murah,3,True,Curug Anom,Wisata Alam,Alam; Spot Foto; Santai/Healing; Outdoor; Ramah Anak,Rp 30.000 - Rp 35.000 (Per Orang),4.5,0.8485,,68.35,1.0,Destinasi 'Curug Anom' sangat cocok dengan keinginan Anda mencari 'curug murah Bandung' (relevansi deskripsi 35.8%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 84.9%. Destinasi ini terpercaya dengan rating Google 4.50/5.0 dari total 162 u
WQ01,curug murah Bandung,curug/air terjun murah,4,True,Curug Bugbrug,Wisata Alam,Alam; Santai/Healing; Spot Foto; Outdoor; Ramah Anak; Kuliner,Rp 10.000 (Per Orang),4.58,0.8259,,65.76,1.0,Destinasi 'Curug Bugbrug' sangat cocok dengan keinginan Anda mencari 'curug murah Bandung' (relevansi deskripsi 31.0%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 82.6%. Destinasi ini terpercaya dengan rating Google 4.58/5.0 dari total 12
WQ01,curug murah Bandung,curug/air terjun murah,5,True,Curug Dago,Wisata Alam,Alam; Santai/Healing; Spot Foto; Sejarah; Outdoor; Edukasi; Kuliner,Rp 15.000 (Per Orang),4.51,0.8304,,63.3,1.0,Destinasi 'Curug Dago' sangat cocok dengan keinginan Anda mencari 'curug murah Bandung' (relevansi deskripsi 28.2%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 83.0%. Destinasi ini terpercaya dengan rating Google 4.51/5.0 dari total 51 ul
WQ02,wisata keluarga ramah anak Bandung,ramah anak/keluarga,1,True,The Nice Park Bandung,Rekreasi Keluarga,Keluarga; Ramah Anak; Alam; Santai/Healing; Outdoor; Kuliner; Belanja; Petualangan,Rp 30.000 - Rp 60.000 (Per Orang),4.96,0.9394,,88.9,1.0,Destinasi 'The Nice Park Bandung' sangat cocok dengan keinginan Anda mencari 'wisata keluarga ramah anak Bandung' (relevansi deskripsi 76.3%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 93.9%. Destinasi ini terpercaya dengan rating Google
WQ02,wisata keluarga ramah anak Bandung,ramah anak/keluarga,2,True,Alam Wisata Cimahi,Rekreasi Keluarga,Keluarga; Kuliner; Alam; Ramah Anak; Edukasi; Petualangan; Gratis; Spot Foto,Gratis,4.44,0.8353,,87.23,1.0,Destinasi 'Alam Wisata Cimahi' sangat cocok dengan keinginan Anda mencari 'wisata keluarga ramah anak Bandung' (relevansi deskripsi 86.4%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 83.5%. Destinasi ini terpercaya dengan rating Google 4.
WQ02,wisata keluarga ramah anak Bandung,ramah anak/keluarga,3,True,Venus Cimahi,Rekreasi Keluarga,Keluarga; Ramah Anak; Kuliner; Belanja,Rp 15.000 - Rp 25.000 (Per Orang),4.74,0.8948,,87.13,1.0,Destinasi 'Venus Cimahi' sangat cocok dengan keinginan Anda mencari 'wisata keluarga ramah anak Bandung' (relevansi deskripsi 78.0%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 89.5%. Destinasi ini terpercaya dengan rating Google 4.74/5.0
WQ02,wisata keluarga ramah anak Bandung,ramah anak/keluarga,4,True,The Lodge Maribaya,Rekreasi Keluarga,Keluarga; Alam; Spot Foto; Ramah Anak; Outdoor; Edukasi; Kuliner; Santai/Healing; Petualangan,Rp 50.000 - Rp 65.000 (Per Orang),4.75,0.8821,,85.1,1.0,Destinasi 'The Lodge Maribaya' sangat cocok dengan keinginan Anda mencari 'wisata keluarga ramah anak Bandung' (relevansi deskripsi 75.1%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 88.2%. Destinasi ini terpercaya dengan rating Google 4.
WQ02,wisata keluarga ramah anak Bandung,ramah anak/keluarga,5,True,Terminal Wisata Grafika Cikole,Rekreasi Keluarga,Keluarga; Kuliner; Alam; Ramah Anak; Petualangan; Malam; Santai/Healing,Rp 20.000 (Per Orang),4.55,0.8455,,84.44,1.0,Destinasi 'Terminal Wisata Grafika Cikole' sangat cocok dengan keinginan Anda mencari 'wisata keluarga ramah anak Bandung' (relevansi deskripsi 76.1%). Ulasan pengunjung didominasi respon sangat positif dengan skor sentimen terkalibrasi 84.5%. Destinasi ini terpercaya dengan rati
