location_id,location_name,display_status,curation_action,category,priority,current_media_available,suggested_raw_title,suggested_match_score,suggested_match_method,audit_note,google_search_url,google_maps_search_url,google_image_search_url,new_media_image_url,new_media_destination_url,new_media_website,new_media_source_note,reviewer_status,reviewer_note
LOC-155,Curug Panganten,active_candidate,keep,Wisata Alam,HIGH,False,Jl. Curug Panganten,0.9091,manual_reject,"Road/route result, not destination-level media.",https://www.google.com/search?q=Curug+Panganten+Bandung+wisata,https://www.google.com/maps/search/Curug+Panganten+Bandung,https://www.google.com/search?tbm=isch&q=Curug+Panganten+Bandung+wisata,,,,,todo,
LOC-176,Padepokan Dayang Sumbi,active_candidate,keep,Tempat Belajar,HIGH,False,Penginapan Dayang Sumbi,0.8,missing,No reliable media match.,https://www.google.com/search?q=Padepokan+Dayang+Sumbi+Bandung+wisata,https://www.google.com/maps/search/Padepokan+Dayang+Sumbi+Bandung,https://www.google.com/search?tbm=isch&q=Padepokan+Dayang+Sumbi+Bandung+wisata,,,,,todo,
LOC-177,Wahoo Waterworld,active_candidate,keep,Wahana Air,HIGH,False,Wahoo Waterworld Bandung,0.8,missing,No reliable media match.,https://www.google.com/search?q=Wahoo+Waterworld+Bandung+wisata,https://www.google.com/maps/search/Wahoo+Waterworld+Bandung,https://www.google.com/search?tbm=isch&q=Wahoo+Waterworld+Bandung+wisata,,,,,todo,
LOC-182,Pine Forest Camp Lembang,active_candidate,keep,Tempat Camping,HIGH,False,Pine Forest Camp,0.8,missing,No reliable media match.,https://www.google.com/search?q=Pine+Forest+Camp+Lembang+Bandung+wisata,https://www.google.com/maps/search/Pine+Forest+Camp+Lembang+Bandung,https://www.google.com/search?tbm=isch&q=Pine+Forest+Camp+Lembang+Bandung+wisata,,,,,todo,
LOC-187,Curug Layung,active_candidate,keep,Wisata Alam,HIGH,False,Curug Pelangi,0.8,missing,No reliable media match.,https://www.google.com/search?q=Curug+Layung+Bandung+wisata,https://www.google.com/maps/search/Curug+Layung+Bandung,https://www.google.com/search?tbm=isch&q=Curug+Layung+Bandung+wisata,,,,,todo,
LOC-190,Curug Anom,active_candidate,keep,Wisata Alam,HIGH,False,Curug Dago,0.8,missing,No reliable media match.,https://www.google.com/search?q=Curug+Anom+Bandung+wisata,https://www.google.com/maps/search/Curug+Anom+Bandung,https://www.google.com/search?tbm=isch&q=Curug+Anom+Bandung+wisata,,,,,todo,
LOC-228,Tanjung Duriat,active_candidate,keep,Wisata Alam,HIGH,False,Wisata Tanjung Duriat,0.8,missing,No reliable media match.,https://www.google.com/search?q=Tanjung+Duriat+Bandung+wisata,https://www.google.com/maps/search/Tanjung+Duriat+Bandung,https://www.google.com/search?tbm=isch&q=Tanjung+Duriat+Bandung+wisata,,,,,todo,
LOC-196,Curug Walanda Citatah,active_candidate,keep,Wisata Alam,HIGH,False,Curug Walanda,0.7647,missing,No reliable media match.,https://www.google.com/search?q=Curug+Walanda+Citatah+Bandung+wisata,https://www.google.com/maps/search/Curug+Walanda+Citatah+Bandung,https://www.google.com/search?tbm=isch&q=Curug+Walanda+Citatah+Bandung+wisata,,,,,todo,
LOC-215,Taman Pramuka Bandung,active_candidate,keep,Taman Kota,HIGH,False,Taman Pramuka,0.7647,missing,No reliable media match.,https://www.google.com/search?q=Taman+Pramuka+Bandung+Bandung+wisata,https://www.google.com/maps/search/Taman+Pramuka+Bandung+Bandung,https://www.google.com/search?tbm=isch&q=Taman+Pramuka+Bandung+Bandung+wisata,,,,,todo,
LOC-163,Kampung Adat Cikondang,active_candidate,keep,Desa Wisata,HIGH,False,Rumah Adat Cikondang,0.7619,missing,No reliable media match.,https://www.google.com/search?q=Kampung+Adat+Cikondang+Bandung+wisata,https://www.google.com/maps/search/Kampung+Adat+Cikondang+Bandung,https://www.google.com/search?tbm=isch&q=Kampung+Adat+Cikondang+Bandung+wisata,,,,,todo,
